Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area
2008,Wii Sports,Wii,111,21842013,39201692,Global
2008,Mario Kart Wii,Wii,39,13240596,13240596,Global
2008,Wii Fit,Wii,58,12684441,13563157,Global
2008,Wii Play,Wii,110,11803775,20743445,Global
2008,Super Smash Bros. Brawl,Wii,49,7918031,7918031,Global
2008,Grand Theft Auto IV,X360,36,6663769,6663769,Global
2008,Grand Theft Auto IV,PS3,36,5570776,5570776,Global
2008,Brain Age: Train Your Brain in Minutes a Day,DS,190,5408016,16485645,Global
2008,New Super Mario Bros.,DS,138,4841639,17420795,Global
2008,Nintendogs,DS,194,4614988,21623290,Global
2008,Mario Kart DS,DS,164,4580397,13689119,Global
2008,Call of Duty: World at War,X360,8,4268378,4268378,Global
2008,Gears of War 2,X360,9,4223193,4223193,Global
2008,Brain Age 2: More Training in Minutes a Day,DS,158,4096651,13022246,Global
2008,Metal Gear Solid 4: Guns of the Patriots,PS3,30,3980134,3980134,Global
2008,Mario & Sonic at the Olympic Games,Wii,61,3951960,6461712,Global
2008,Mario & Sonic at the Olympic Games,DS,51,3796912,3796912,Global
2008,Pokemon Diamond / Pearl Version,DS,120,3331630,16323985,Global
2008,Mario Party DS,DS,61,3176310,5457759,Global
2008,Super Mario Galaxy,Wii,62,3058162,7442471,Global
2008,Call of Duty 4: Modern Warfare,X360,61,2942658,6836442,Global
2008,Pokemon Mystery Dungeon: Explorers of Time / Darkness,DS,69,2810206,4130722,Global
2008,Monster Hunter Freedom Unite,PSP,41,2767350,2767350,Global
2008,LEGO Indiana Jones: The Original Adventures,X360,31,2676645,2676645,Global
2008,Link's Crossbow Training,Wii,59,2578600,3342831,Global
2008,Guitar Hero III: Legends of Rock,Wii,62,2575777,3916943,Global
2008,Call of Duty: World at War,PS3,8,2572405,2572405,Global
2008,Gran Turismo 5 Prologue,PS3,56,2562905,2726282,Global
2008,Guitar Hero: On Tour,DS,28,2526494,2526494,Global
2008,Animal Crossing: City Folk,Wii,7,2475078,2475078,Global
2008,Fable II,X360,11,2336549,2336549,Global
