Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area
2014,Pokemon Omega Ruby and Alpha Sapphire,3DS,7,"7,527,047","7,527,047",Global
2014,Call of Duty: Advanced Warfare,PS4,9,"5,684,918","5,684,918",Global
2014,Super Smash Bros. for Nintendo 3DS,3DS,17,"5,546,831","5,546,831",Global
2014,Grand Theft Auto V,PS4,7,"5,411,940","5,411,940",Global
2014,FIFA 15,PS4,15,"5,182,426","5,182,426",Global
2014,Destiny,PS4,17,"4,422,631","4,422,631",Global
2014,Mario Kart 8,WiiU,32,"4,306,831","4,306,831",Global
2014,Call of Duty: Advanced Warfare,XOne,9,"3,945,279","3,945,279",Global
2014,FIFA 15,PS3,15,"3,842,959","3,842,959",Global
2014,Minecraft: Xbox 360 Edition,X360,83,"3,694,454","6,939,243",Global
2014,Call of Duty: Advanced Warfare,PS3,9,"3,543,196","3,543,196",Global
2014,Call of Duty: Advanced Warfare,X360,9,"3,488,439","3,488,439",Global
2014,Watch Dogs,PS4,32,"3,449,517","3,449,517",Global
2014,Minecraft: PlayStation 3 Edition,PS3,34,"3,083,428","3,083,428",Global
2014,Youkai Watch 2 Ganso/Honke,3DS,26,"3,058,338","3,058,338",Global
2014,Super Smash Bros. for Wii U,WiiU,7,"2,888,156","2,888,156",Global
2014,Assassin's Creed: Unity,PS4,8,"2,782,583","2,782,583",Global
2014,The Last of Us Remastered,PS4,23,"2,748,130","2,748,130",Global
2014,Pokemon X/Y,3DS,65,"2,547,336","12,593,760",Global
2014,FIFA 15,X360,15,"2,545,109","2,545,109",Global
2014,Titanfall,XOne,43,"2,535,002","2,535,002",Global
2014,Far Cry 4,PS4,7,"2,513,027","2,513,027",Global
2014,Destiny,XOne,17,"2,428,397","2,428,397",Global
2014,Monster Hunter 4G,3DS,13,"2,409,601","2,409,601",Global
2014,Assassin's Creed: Unity,XOne,8,"2,386,751","2,386,751",Global
2014,Grand Theft Auto V,PS3,68,"2,375,323","19,651,441",Global
2014,Youkai Watch 2 Shinuchi,3DS,4,"2,246,908","2,246,908",Global
2014,Tomodachi Life,3DS,90,"2,208,560","3,836,368",Global
2014,Grand Theft Auto V,XOne,7,"2,199,236","2,199,236",Global
2014,inFAMOUS: Second Son,PS4,42,"2,101,363","2,101,363",Global
2014,Middle-Earth: Shadow of Mordor,PS4,14,"1,911,791","1,911,791",Global
2014,Halo: The Master Chief Collection,XOne,8,"1,877,850","1,877,850",Global
2014,Call of Duty: Ghosts,PS3,61,"1,867,479","9,213,889",Global
2014,Grand Theft Auto V,X360,68,"1,807,527","14,905,062",Global
2014,Call of Duty: Ghosts,X360,61,"1,666,432","9,433,982",Global
2014,FIFA 15,XOne,15,"1,659,707","1,659,707",Global
2014,Madden NFL 15,X360,19,"1,632,711","1,632,711",Global
2014,Madden NFL 15,PS4,19,"1,598,441","1,598,441",Global
2014,Watch Dogs,PS3,32,"1,564,086","1,564,086",Global
2014,NBA 2K15,PS4,13,"1,552,801","1,552,801",Global
2014,Just Dance 2015,Wii,11,"1,531,427","1,531,427",Global
2014,Destiny,X360,17,"1,499,887","1,499,887",Global
2014,The Sims 4,PC,18,"1,499,519","1,499,519",Global
2014,Super Mario 3D World,WiiU,59,"1,476,198","3,081,346",Global
2014,Minecraft: PlayStation 4 Edition,PS4,14,"1,421,554","1,421,554",Global
2014,FIFA Soccer 14,PS4,60,"1,412,086","2,680,184",Global
2014,Driveclub,PS4,13,"1,405,379","1,405,379",Global
2014,Assassin's Creed IV: Black Flag,XOne,59,"1,393,274","1,986,358",Global
2014,Call of Duty: Ghosts,PS4,60,"1,374,096","2,973,720",Global
2014,Mario Kart 7,3DS,162,"1,357,381","10,526,639",Global
2014,The Evil Within,PS4,12,"1,347,102","1,347,102",Global
2014,Kirby: Triple Deluxe,3DS,52,"1,329,249","1,329,249",Global
2014,Animal Crossing: New Leaf,3DS,113,"1,318,399","7,569,918",Global
2014,New Super Mario Bros. 2,3DS,128,"1,313,305","8,539,325",Global
2014,Battlefield 4,PS4,60,"1,307,208","2,558,150",Global
2014,Watch Dogs,XOne,32,"1,284,476","1,284,476",Global
2014,Diablo III,PC,138,"1,247,310","4,573,618",Global
2014,Destiny,PS3,17,"1,236,231","1,236,231",Global
2014,Dragon Age: Inquisition,PS4,7,"1,232,064","1,232,064",Global
2014,Nintendo Land,WiiU,111,"1,200,520","4,016,256",Global
2014,Madden NFL 15,XOne,19,"1,200,483","1,200,483",Global
2014,FIFA Soccer 14,PS3,67,"1,190,912","6,745,238",Global
2014,Titanfall,X360,39,"1,181,756","1,181,756",Global
2014,Assassin's Creed IV: Black Flag,PS3,62,"1,135,208","3,702,915",Global
2014,New Super Mario Bros. U,WiiU,111,"1,119,761","4,627,224",Global
2014,NBA 2K15,X360,13,"1,115,578","1,115,578",Global
2014,Gran Turismo 6,PS3,57,"1,114,250","2,970,016",Global
2014,Madden NFL 15,PS3,19,"1,093,945","1,093,945",Global
2014,Watch Dogs,X360,32,"1,092,898","1,092,898",Global
2014,Dark Souls II,PS3,43,"1,088,117","1,088,117",Global
2014,Wolfenstein: The New Order,PS4,33,"1,079,313","1,079,313",Global
2014,The LEGO Movie Videogame,X360,48,"1,062,072","1,062,072",Global
2014,The Last of Us,PS3,82,"1,030,117","5,397,481",Global
2014,Battlefield 4,PS3,62,"1,028,946","3,345,157",Global
2014,Mario Party Island Tour,3DS,59,"1,024,411","1,275,976",Global
2014,NBA 2K15,XOne,13,"1,019,623","1,019,623",Global
2014,Metal Gear Solid V: Ground Zeroes,PS4,42,"1,011,006","1,011,006",Global
2014,Youkai Watch,3DS,78,"1,010,066","1,310,842",Global
2014,Assassin's Creed IV: Black Flag,PS4,60,"980,532","2,175,310",Global
2014,Far Cry 4,XOne,7,"976,573","976,573",Global
2014,Donkey Kong Country: Tropical Freeze,WiiU,47,"974,471","974,471",Global
2014,Yoshi's New Island,3DS,43,"966,761","966,761",Global
2014,Call of Duty: Ghosts,XOne,59,"965,645","2,342,814",Global
2014,Killzone: Shadow Fall,PS4,60,"955,148","2,171,296",Global
2014,Forza Motorsport 5,XOne,59,"951,575","1,889,076",Global
2014,The Crew,PS4,5,"935,741","935,741",Global
2014,LittleBigPlanet 3,PS4,7,"923,725","923,725",Global
2014,Final Fantasy X / X-2 HD Remaster,PS3,54,"915,807","1,141,946",Global
2014,Assassin's Creed IV: Black Flag,X360,62,"913,177","3,078,749",Global
2014,Middle-Earth: Shadow of Mordor,XOne,14,"902,141","902,141",Global
2014,Assassin's Creed: Rogue,PS3,8,"847,451","847,451",Global
2014,Hyrule Warriors,WiiU,21,"835,878","835,878",Global
2014,New Super Luigi U,WiiU,78,"833,820","2,023,031",Global
2014,Knack,PS4,60,"832,407","1,329,676",Global
2014,Skylanders: Trap Team,Wii,13,"830,899","830,899",Global
2014,Call of Duty: Black Ops II,PS3,112,"823,961","13,268,240",Global
2014,Diablo III: Ultimate Evil Edition,PS4,20,"814,247","814,247",Global
2014,Diablo III,PS3,70,"805,988","1,665,485",Global
2014,NBA 2K15,PS3,13,"805,608","805,608",Global
2014,Super Mario 3D Land,3DS,166,"803,356","10,022,815",Global
