Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area
2010,Wii Sports,Wii,215,"15,218,276","73,208,706",Global
2010,Wii Sports Resort,Wii,80,"11,379,903","23,893,549",Global
2010,New Super Mario Bros. Wii,Wii,59,"10,938,968","20,956,187",Global
2010,Call of Duty: Black Ops,X360,8,"10,521,267","10,521,267",Global
2010,Call of Duty: Black Ops,PS3,8,"8,705,885","8,705,885",Global
2010,Wii Fit Plus,Wii,66,"8,574,349","17,025,103",Global
2010,Kinect Adventures!,X360,9,"7,183,698","7,183,698",Global
2010,Halo: Reach,X360,16,"7,100,482","7,100,482",Global
2010,Pokemon Heart Gold / Soul Silver Version,DS,69,"6,731,984","10,288,494",Global
2010,Super Mario Galaxy 2,Wii,32,"5,805,971","5,805,971",Global
2010,Gran Turismo 5,PS3,6,"5,264,164","5,264,164",Global
2010,Mario Kart Wii,Wii,143,"5,196,913","25,858,651",Global
2010,Pokemon Black / White Version,DS,16,"5,050,908","5,050,908",Global
2010,Just Dance 2,Wii,12,"4,854,435","4,854,435",Global
2010,Wii Party,Wii,26,"4,702,627","4,702,627",Global
2010,Just Dance,Wii,59,"4,451,159","5,156,266",Global
2010,New Super Mario Bros.,DS,242,"4,013,577","25,612,506",Global
2010,FIFA Soccer 11,PS3,14,"3,812,019","3,812,019",Global
2010,Red Dead Redemption,X360,33,"3,803,953","3,803,953",Global
2010,Monster Hunter Freedom 3,PSP,5,"3,762,348","3,762,348",Global
2010,Mario Kart DS,DS,268,"3,711,406","20,238,094",Global
2010,Donkey Kong Country Returns,Wii,6,"3,655,964","3,655,964",Global
2010,God of War III,PS3,42,"3,575,871","3,575,871",Global
2010,Red Dead Redemption,PS3,33,"3,340,116","3,340,116",Global
2010,Call of Duty: Modern Warfare 2,X360,60,"3,151,456","11,924,754",Global
2010,Assassin's Creed: Brotherhood,X360,7,"2,948,102","2,948,102",Global
2010,Call of Duty: Modern Warfare 2,PS3,60,"2,836,354","9,176,321",Global
