Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area
2018,Red Dead Redemption 2,PS4,10,13940203,13940203,Global
2018,Call of Duty: Black Ops IIII,PS4,12,9317241,9317241,Global
2018,FIFA 19,PS4,14,9147505,9147505,Global
2018,Super Smash Bros. (2018),NS,4,8951009,8951009,Global
2018,Spider-Man (PS4),PS4,17,8757859,8757859,Global
2018,Mario Kart 8 Deluxe,NS,88,6688249,13046117,Global
2018,God of War (PS4),PS4,37,6153527,6153527,Global
2018,Red Dead Redemption 2,XOne,10,5771147,5771147,Global
2018,Super Mario Party,NS,13,4972711,4972711,Global
2018,Call of Duty: Black Ops IIII,XOne,12,4850704,4850704,Global
2018,Monster Hunter: World,PS4,49,4671040,4671040,Global
2018,"Pokemon: Let's Go, Pikachu!",NS,7,4566580,4566580,Global
2018,Super Mario Odyssey,NS,62,3998578,11714226,Global
2018,Far Cry 5,PS4,40,3953687,3953687,Global
2018,The Legend of Zelda: Breath of the Wild,NS,96,3387011,9460827,Global
2018,Assassin's Creed Odyssey,PS4,13,3176082,3176082,Global
2018,Splatoon 2,NS,76,2932784,7037733,Global
2018,"Pokemon: Let's Go, Eevee!",NS,7,2728386,2728386,Global
2018,NBA 2K19,PS4,16,2627728,2627728,Global
2018,Grand Theft Auto V,PS4,215,2278958,19392497,Global
2018,Battlefield V,PS4,6,2224270,2224270,Global
2018,FIFA 19,XOne,14,2223288,2223288,Global
2018,Madden NFL 19,PS4,21,2214368,2214368,Global
2018,Spyro Reignited Trilogy,PS4,7,2172947,2172947,Global
2018,Kirby,NS,42,1992021,1992021,Global
2018,Minecraft,NS,28,1888081,1888081,Global
2018,Mario Tennis Aces,NS,28,1873240,1873240,Global
2018,Pokemon: Ultra Sun and Ultra Moon,3DS,59,1842871,7151768,Global
2018,Forza Horizon 4,XOne,13,1839995,1839995,Global
2018,Far Cry 5,XOne,40,1779209,1779209,Global
2018,NBA 2K19,XOne,16,1737777,1737777,Global
2018,Call of Duty: WWII,PS4,61,1736545,13401959,Global
2018,Shadow of the Tomb Raider,PS4,16,1735311,1735311,Global
2018,Donkey Kong Country: Tropical Freeze,NS,35,1691822,1691822,Global
2018,FIFA 18,PS4,66,1690579,11798489,Global
2018,Detroit: Become Human,PS4,32,1572826,1572826,Global
2018,Battlefield V,XOne,6,1547325,1547325,Global
2018,Madden NFL 19,XOne,21,1508105,1508105,Global
2018,Dragon Ball Fighter Z,PS4,49,1456835,1456835,Global
2018,Assassin's Creed Odyssey,XOne,13,1388057,1388057,Global
2018,Fallout 76,PS4,7,1321887,1321887,Global
2018,Horizon: Zero Dawn,PS4,96,1314463,5822128,Global
2018,PlayerUnknown's Battlegrounds,XOne,55,1235507,2167606,Global
2018,Crash Bandicoot N. Sane Trilogy,PS4,79,1212079,4827129,Global
2018,Grand Theft Auto V,XOne,215,1208157,8720682,Global
2018,Mario + Rabbids Kingdom Battle,NS,70,1202181,2592171,Global
2018,Shadow of the Colossus,PS4,47,1197972,1197972,Global
2018,Nintendo Labo: Toy-Con 01 Variety Kit,NS,37,1122790,1122790,Global
2018,Crash Bandicoot N. Sane Trilogy,NS,27,1114647,1114647,Global
2018,Star Wars Battlefront II (2017),PS4,59,1112996,4525671,Global
2018,PlayStation VR Worlds,PS4,116,1074863,2162086,Global
2018,MLB The Show 18,PS4,40,1062972,1062972,Global
2018,MineCraft,XOne,215,1051943,5434577,Global
2018,Project Octopath Traveler,NS,25,1018756,1018756,Global
2018,WWE 2K19,PS4,12,983134,983134,Global
2018,EA Sports UFC 3,PS4,48,969422,969422,Global
2018,Sea of Thieves,XOne,41,961038,961038,Global
2018,Mario Kart,3DS,370,945123,15485371,Global
2018,Assassin's Creed Origins,PS4,62,931539,4063812,Global
2018,Fallout 76,XOne,7,931129,931129,Global
2018,Monster Hunter: World,XOne,49,927146,927146,Global
2018,Gran Turismo Sport,PS4,63,894285,3770881,Global
2018,Ni no Kuni II: Revenant Kingdom,PS4,41,892818,892818,Global
2018,1-2-Switch,NS,96,888949,2462974,Global
2018,Tom Clancy's Rainbow Six: Siege,PS4,161,864861,4358737,Global
2018,Captain Toad: Treasure Tracker,NS,25,848254,848254,Global
2018,MineCraft,PS4,222,842119,6332936,Global
2018,The Crew 2,PS4,27,816785,816785,Global
2018,Need for Speed: Payback,PS4,60,812352,2180843,Global
2018,Call of Duty: WWII,XOne,61,789649,6230027,Global
2018,Shadow of the Tomb Raider,XOne,16,784465,784465,Global
2018,Resident Evil VII: Biohazard,PS4,101,777738,3311900,Global
2018,Fortnite,PS4,76,770813,888062,Global
2018,Just Dance 2019,NS,10,761638,761638,Global
2018,Destiny 2,PS4,69,755874,4139803,Global
2018,FIFA 19,NS,14,748409,748409,Global
2018,Astro Bot Rescue Mission,PS4,13,713531,713531,Global
2018,SoulCalibur VI,PS4,11,712769,712769,Global
2018,Fortnite,NS,7,689665,689665,Global
2018,The Sims 4,PS4,59,677466,1394853,Global
2018,Diablo III: Eternal Collection,NS,9,669773,669773,Global
2018,Fortnite,XOne,76,668713,769347,Global
2018,Spyro Reignited Trilogy,XOne,7,654730,654730,Global
2018,Crash Bandicoot N.Sane Trilogy,XOne,27,650979,650979,Global
2018,NBA 2K18,PS4,68,636932,3340514,Global
2018,LEGO The Incredibles,NS,29,630833,630833,Global
2018,The Last of Us,PS4,231,629678,6773713,Global
2018,Dragon Quest XI,PS4,75,620347,2036028,Global
2018,Overwatch,PS4,136,619118,4536011,Global
2018,Pokken Tournament,NS,67,605114,1707593,Global
2018,LEGO Marvel Super Heroes 2,PS4,59,604635,1113723,Global
2018,Xenoblade Chronicles 2,NS,57,602633,1404928,Global
2018,Kingdom Hearts 1.5 + 2.5 Remix,PS4,95,601873,1750665,Global
2018,The Elder Scrolls V: Skyrim,NS,59,593024,1153690,Global
2018,Rocket League,PS4,132,584344,2017745,Global
2018,Farming Simulator 19,PC,6,583425,583425,Global
2018,Bayonetta 2,NS,46,573643,573643,Global
2018,Fallout 4,PS4,164,568545,8480129,Global
2018,Starlink: Battle for Atlas,NS,11,567755,567755,Global
2018,Assassin's Creed Origins,XOne,62,560485,2474124,Global
