Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area
2011,Call of Duty: Modern Warfare 3,X360,8,12561893,12561893,Global
2011,Call of Duty: Modern Warfare 3,PS3,8,10320405,10320405,Global
2011,Pokémon Black and White,DS,68,8539874,13590782,Global
2011,Kinect Adventures!,X360,61,7883750,15067448,Global
2011,Just Dance 3,Wii,13,7299300,7299300,Global
2011,Mario Kart Wii,Wii,195,5344655,31203306,Global
2011,Wii Sports Resort,Wii,132,5319549,29213098,Global
2011,Wii Sports,Wii,267,5215358,78424064,Global
2011,Battlefield 3,X360,10,5141407,5141407,Global
2011,Gears of War 3,X360,15,5072552,5072552,Global
2011,The Elder Scrolls V: Skyrim,X360,8,4955475,4955475,Global
2011,FIFA Soccer 12,PS3,14,4863389,4863389,Global
2011,Super Mario 3D Land,3DS,9,4606466,4606466,Global
2011,Battlefield 3,PS3,10,4456210,4456210,Global
2011,Just Dance 2,Wii,64,3965581,8820016,Global
2011,Mario Kart 7,3DS,5,3925017,3925017,Global
2011,Zumba Fitness,Wii,59,3881228,4233262,Global
2011,New Super Mario Bros. Wii,Wii,111,3717970,24674157,Global
2011,Uncharted 3: Drake's Deception,PS3,9,3445282,3445282,Global
2011,FIFA Soccer 12,X360,14,3145478,3145478,Global
2011,Assassin's Creed: Revelations,X360,7,2981834,2981834,Global
2011,Wii Fit Plus,Wii,118,2955753,19980856,Global
2011,The Elder Scrolls V: Skyrim,PS3,8,2936545,2936545,Global
2011,The Legend of Zelda: Skyward Sword,Wii,7,2903322,2903322,Global
2011,Assassin's Creed: Ezio Trilogy,PS3,7,2815959,2815959,Global
2011,Batman: Arkham City,PS3,11,2753194,2753194,Global
2011,Call of Duty: Black Ops,X360,60,2665288,13186555,Global
2011,Batman: Arkham City,X360,11,2506376,2506376,Global
2011,Call of Duty: Black Ops,PS3,60,2459689,11165574,Global
2011,Wii Party,Wii,78,2386248,7088875,Global
2011,LittleBigPlanet 2,PS3,50,2382980,2382980,Global
2011,The Legend of Zelda: Ocarina of Time 3D,3DS,29,2361053,2361053,Global
2011,New Super Mario Bros.,DS,294,2297818,27910324,Global
2011,L.A. Noire,PS3,33,2267475,2267475,Global
2011,Madden NFL 12,X360,18,2209878,2209878,Global
2011,Mario andamp;amp; Sonic at the London 2012 Olympic Games,Wii,7,2170600,2170600,Global
2011,Gran Turismo 5,PS3,58,2159775,7370248,Global
2011,Killzone 3,PS3,45,2132397,2132397,Global
2011,L.A. Noire,X360,33,2093668,2093668,Global
2011,Michael Jackson: The Experience,Wii,58,2071204,3796164,Global
2011,Nintendogs + cats,3DS,45,1965356,1965356,Global
2011,Fable III,X360,62,1941410,4607476,Global
2011,Forza Motorsport 4,X360,12,1849731,1849731,Global
2011,Madden NFL 12,PS3,18,1774699,1774699,Global
2011,The Elder Scrolls V: Skyrim,PC,8,1766769,1766769,Global
2011,Saints Row: The Third,X360,7,1764402,1764402,Global
2011,Star Wars: The Old Republic,PC,2,1755362,1755362,Global
2011,Donkey Kong Country Returns,Wii,58,1723440,5379404,Global
2011,Pro Evolution Soccer 2012,PS3,14,1654620,1654620,Global
2011,Kinect Sports,X360,61,1620587,3857763,Global
2011,Halo: Reach,X360,68,1593350,8693832,Global
2011,Battlefield 3,PC,10,1560631,1560631,Global
2011,Kinect Sports: Season Two,X360,10,1550459,1550459,Global
2011,Halo: Combat Evolved Anniversary,X360,7,1532556,1532556,Global
2011,Mortal Kombat,PS3,37,1512133,1512133,Global
2011,Mario Sports Mix,Wii,58,1380698,1880430,Global
2011,Professor Layton and the Last Specter,DS,76,1373733,2048915,Global
2011,Just Dance 3,X360,13,1373136,1373136,Global
2011,Mario Kart DS,DS,320,1373131,21611225,Global
2011,Portal 2,X360,37,1367249,1367249,Global
2011,NBA 2K12,X360,13,1346314,1346314,Global
2011,Homefront,X360,42,1302624,1302624,Global
2011,Dance Central 2,X360,11,1296472,1296472,Global
2011,Saints Row: The Third,PS3,7,1286187,1286187,Global
2011,Just Dance,Wii,111,1271712,6427978,Global
2011,Need for Speed: The Run,PS3,7,1235889,1235889,Global
2011,Just Dance Kids,Wii,60,1231215,1606824,Global
2011,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,59,1227898,2312578,Global
2011,Dead Island,X360,17,1211183,1211183,Global
2011,Dance Central,X360,61,1191073,2575301,Global
2011,Assassin's Creed: Brotherhood,PS3,59,1164447,3890318,Global
2011,Rage,X360,13,1132212,1132212,Global
2011,Dead Space 2,X360,49,1130512,1130512,Global
2011,Portal 2,PS3,37,1125923,1125923,Global
2011,NBA 2K12,PS3,13,1123275,1123275,Global
2011,Skylanders: Spyro's Adventure,Wii,12,1118799,1118799,Global
2011,Grand Theft Auto IV,PS3,192,1110906,8832701,Global
2011,Mortal Kombat,X360,37,1108329,1108329,Global
2011,Assassin's Creed: Brotherhood,X360,59,1104156,4052258,Global
2011,Red Dead Redemption,PS3,85,1103189,4443305,Global
2011,inFAMOUS 2,PS3,30,1098974,1098974,Global
2011,Sports Champions,PS3,68,1071950,3065841,Global
2011,Call of Duty: Modern Warfare 3,PC,8,1067168,1067168,Global
2011,Crysis 2,X360,41,1063731,1063731,Global
2011,Dead Island,PS3,17,1056546,1056546,Global
2011,Dead Space 2,PS3,49,1033327,1033327,Global
2011,Kirby's Return to Dreamland,Wii,10,1014632,1014632,Global
2011,Monster Hunter 3G,3DS,4,986674,986674,Global
2011,The Sims 3 (Mobile Versions),Mobile Versions,11,984148,984148,Global
2011,Deus Ex: Human Revolution,X360,19,961991,961991,Global
2011,Grand Theft Auto IV,X360,192,961102,9358279,Global
2011,Dark Souls,PS3,15,954481,954481,Global
2011,Resistance 3,PS3,17,953683,953683,Global
2011,FIFA Soccer 11,PS3,66,950171,4762190,Global
