Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area
2012,Call of Duty: Black Ops II,X360,7,10425836,10425836,Global
2012,Call of Duty: Black Ops II,PS3,7,8761145,8761145,Global
2012,Halo 4,X360,8,7197135,7197135,Global
2012,Pokemon Black / White Version 2,DS,28,5973729,5973729,Global
2012,FIFA Soccer 13,PS3,14,5579138,5579138,Global
2012,Just Dance 4,Wii,13,5329143,5329143,Global
2012,New Super Mario Bros. 2,3DS,23,4998154,4998154,Global
2012,Kinect Adventures!,X360,113,4473094,19251506,Global
2012,Assassin's Creed III,PS3,9,4328682,4328682,Global
2012,FIFA Soccer 13,X360,14,4021664,4021664,Global
2012,Assassin's Creed III,X360,9,3805417,3805417,Global
2012,Mario Kart 7,3DS,57,3379678,7267772,Global
2012,Super Mario 3D Land,3DS,61,3272335,7825991,Global
2012,Diablo III,PC,33,2932288,2932288,Global
2012,Mass Effect 3 (N7 Collector's Edition),X360,43,2569500,2569500,Global
2012,Gran Turismo 5,PS3,110,2412372,9746064,Global
2012,Wii Sports,Wii,319,2399253,80666504,Global
2012,Just Dance 3,Wii,65,2375772,9540183,Global
2012,Mario Party 9,Wii,44,2289775,2289775,Global
2012,Madden NFL 13,X360,18,2260829,2260829,Global
2012,Resident Evil 6 Anthology,PS3,13,2250072,2250072,Global
2012,Call of Duty: Modern Warfare 3,PS3,60,2209581,12165203,Global
2012,Call of Duty: Modern Warfare 3,X360,60,2177827,13705821,Global
2012,Borderlands 2,X360,15,2145478,2145478,Global
2012,Uncharted 3: Drake's Deception,PS3,61,2105428,5516888,Global
2012,Animal Crossing: New Leaf,3DS,8,2066259,2066259,Global
2012,Mario Kart Wii,Wii,247,2044458,33104438,Global
2012,Wii Sports Resort,Wii,184,2035009,31152598,Global
2012,The Elder Scrolls V: Skyrim,X360,60,1925135,6788440,Global
2012,Forza Motorsport 4,X360,64,1907030,3728483,Global
2012,Madden NFL 13,PS3,18,1841418,1841418,Global
2012,NBA 2K13,X360,13,1826945,1826945,Global
2012,Zumba Fitness,Wii,111,1804407,5960700,Global
2012,New Super Mario Bros. Wii,Wii,163,1802288,26186553,Global
2012,Zumba Fitness 2,Wii,59,1727083,2357550,Global
2012,Skylanders Giants,Wii,11,1700240,1700240,Global
2012,Battlefield 3,PS3,62,1660403,6071099,Global
2012,Guild Wars 2,PC,18,1571387,1571387,Global
2012,Kinect Sports,X360,113,1564962,5353769,Global
2012,Kinect: Disneyland Adventures,X360,59,1505769,2028758,Global
2012,Far Cry 3,X360,5,1505554,1505554,Global
