Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area
2007,Wii Sports,Wii,58,"14,794,664","17,359,679",Global
2007,Pokemon Diamond / Pearl Version,DS,67,"8,518,663","12,992,355",Global
2007,Wii Play,Wii,57,"8,192,481","8,939,670",Global
2007,Halo 3,X360,14,"6,835,323","6,835,323",Global
2007,Nintendogs,DS,141,"5,650,547","17,008,302",Global
2007,Brain Age 2: More Training in Minutes a Day,DS,105,"5,088,209","8,925,595",Global
2007,Brain Age: Train Your Brain in Minutes a Day,DS,137,"4,816,095","11,077,629",Global
2007,New Super Mario Bros.,DS,85,"4,577,916","12,579,156",Global
2007,Super Mario Galaxy,Wii,9,"4,384,309","4,384,309",Global
2007,Mario Party 8,Wii,31,"3,957,344","3,957,344",Global
2007,Call of Duty 4: Modern Warfare,X360,8,"3,893,784","3,893,784",Global
2007,The Legend of Zelda: Phantom Hourglass,DS,27,"3,212,914","3,212,914",Global
2007,Mario Kart DS,DS,111,"3,069,880","9,108,722",Global
2007,Forza Motorsport 2,X360,32,"3,004,512","3,004,512",Global
2007,Assassin's Creed,X360,7,"2,806,296","2,806,296",Global
2007,Mario & Sonic at the Olympic Games,Wii,8,"2,509,752","2,509,752",Global
2007,MotorStorm,PS3,55,"2,448,530","2,482,749",Global
2007,Animal Crossing: Wild World,DS,110,"2,329,978","8,706,354",Global
2007,The Legend of Zelda: Twilight Princess,Wii,58,"2,302,768","4,113,705",Global
2007,Mario Party DS,DS,8,"2,281,449","2,281,449",Global
2007,Cooking Mama,DS,93,"2,145,206","2,405,012",Global
2007,Super Paper Mario,Wii,38,"2,025,923","2,025,923",Global
2007,Resistance: Fall of Man,PS3,60,"2,012,645","2,439,062",Global
2007,Monster Hunter Freedom 2,PSP,45,"1,902,717","1,902,717",Global
2007,Madden NFL 08,X360,20,"1,862,407","1,862,407",Global
2007,Call of Duty 4: Modern Warfare,PS3,8,"1,861,517","1,861,517",Global
2007,Guitar Hero III: Legends of Rock,X360,9,"1,860,277","1,860,277",Global
2007,Marvel: Ultimate Alliance,X360,62,"1,838,425","2,182,732",Global
