Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area
2015,Call of Duty: Black Ops 3,PS4,9,10556687,10556687,Global
2015,FIFA 16,PS4,15,6956922,6956922,Global
2015,Star Wars: Battlefront (2015),PS4,7,6545898,6545898,Global
2015,Call of Duty: Black Ops 3,XOne,9,5824272,5824272,Global
2015,Fallout 4,PS4,8,5806479,5806479,Global
2015,Grand Theft Auto V,PS4,59,4318817,9695100,Global
2015,Splatoon,WiiU,32,3871492,3871492,Global
2015,Uncharted: The Nathan Drake Collection,PS4,13,3568174,3568174,Global
2015,Halo 5: Guardians,XOne,10,3456285,3456285,Global
2015,Fallout 4,XOne,8,3382347,3382347,Global
2015,Batman: Arkham Knight,PS4,28,3371860,3371860,Global
2015,The Witcher 3: Wild Hunt,PS4,33,3154893,3154893,Global
2015,Metal Gear Solid V: The Phantom Pain,PS4,18,3019211,3019211,Global
2015,NBA 2K16,PS4,14,2978157,2978157,Global
2015,Star Wars: Battlefront (2015),XOne,7,2872247,2872247,Global
2015,Assassin's Creed Syndicate,PS4,11,2724969,2724969,Global
2015,Madden NFL 16,PS4,19,2706916,2706916,Global
2015,Super Mario Maker,WiiU,17,2682019,2682019,Global
2015,Animal Crossing: Happy Home Designer,3DS,23,2617022,2617022,Global
2015,FIFA 16,XOne,15,2613017,2613017,Global
2015,Monster Hunter X,3DS,6,2541984,2541984,Global
2015,Pokemon Omega Ruby and Alpha Sapphire,3DS,59,2374173,9966649,Global
2015,FIFA 16,PS3,15,2307326,2307326,Global
2015,Mario Kart 8,WiiU,84,2284849,6609217,Global
2015,Mortal Kombat X,PS4,38,2281692,2281692,Global
2015,The Legend of Zelda: Majora's Mask 3D,3DS,47,2174843,2174843,Global
2015,Yo-Kai Watch Busters: Red Cat Team / White Dog Squad,3DS,26,2137693,2137693,Global
2015,Madden NFL 16,XOne,19,2095827,2095827,Global
2015,Bloodborne,PS4,41,2012302,2012302,Global
2015,Need for Speed (2015),PS4,9,1955892,1955892,Global
2015,Gears of War,XOne,19,1954082,1954082,Global
2015,Battlefield: Hardline,PS4,42,1923752,1923752,Global
2015,Grand Theft Auto V,XOne,59,1911134,4153810,Global
2015,NBA 2K16,XOne,14,1752468,1752468,Global
2015,Call of Duty: Advanced Warfare,PS4,61,1735885,7454487,Global
2015,Super Smash Bros. for Wii U,WiiU,59,1705619,4500075,Global
2015,Minecraft: PlayStation 3 Edition,PS3,86,1703645,4740377,Global
2015,Minecraft: PlayStation 4 Edition,PS4,66,1682156,3104320,Global
2015,Dying Light,PS4,49,1681933,1681933,Global
2015,Call of Duty: Black Ops 3,PS3,9,1582916,1582916,Global
2015,Super Smash Bros. for Nintendo 3DS,3DS,69,1579143,7184680,Global
2015,Call of Duty: Black Ops 3,X360,9,1577250,1577250,Global
2015,The Order 1866,PS4,46,1569154,1569154,Global
2015,Minecraft: Xbox 360 Edition,X360,135,1524761,8405830,Global
