Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area
2013,Grand Theft Auto V,X360,16,"7,052,092","7,052,092",USA
2013,Grand Theft Auto V,PS3,16,"5,117,996","5,117,996",USA
2013,Call of Duty: Ghosts,X360,9,"4,738,192","4,738,192",USA
2013,Pokemon X/Y,3DS,13,"3,079,263","3,079,263",USA
2013,Call of Duty: Ghosts,PS3,9,"2,701,575","2,701,575",USA
2013,Minecraft,X360,31,"1,842,354","1,842,354",USA
2013,The Last of Us,PS3,30,"1,625,287","1,625,287",USA
2013,Battlefield 4,X360,10,"1,528,557","1,528,557",USA
2013,Madden NFL 25,X360,19,"1,521,978","1,521,978",USA
2013,NBA 2K14,X360,14,"1,378,313","1,378,313",USA
2013,Just Dance 2014,Wii,13,"1,360,504","1,360,504",USA
2013,Luigi's Mansion: Dark Moon,3DS,41,"1,188,180","1,188,180",USA
2013,Madden NFL 25,PS3,19,"1,184,732","1,184,732",USA
2013,Call of Duty: Black Ops II,X360,60,"1,172,700","7,078,181",USA
2013,Assassin's Creed IV: Black Flag,X360,10,"1,085,170","1,085,170",USA
2013,Animal Crossing: New Leaf,3DS,30,"1,058,284","1,058,284",USA
2013,Halo 4,X360,61,"1,001,492","5,673,038",USA
2013,Kinect Adventures!,X360,166,"977,614","13,241,436",USA
2013,New Super Mario Bros. U,WiiU,59,"944,780","1,512,082",USA
2013,NBA 2K14,PS3,14,"941,750","941,750",USA
2013,BioShock Infinite,X360,41,"940,715","940,715",USA
2013,Call of Duty: Ghosts,XOne,7,"877,898","877,898",USA
2013,God of War: Ascension,PS3,43,"872,911","872,911",USA
2013,The Legend of Zelda: A Link Between Worlds,3DS,7,"822,608","822,608",USA
2013,NCAA Football 14,X360,26,"815,387","815,387",USA
2013,Call of Duty: Ghosts,PS4,8,"814,551","814,551",USA
2013,Battlefield 4,PS3,10,"783,015","783,015",USA
2013,Skylanders Swap Force,Wii,12,"775,293","775,293",USA
2013,Gears of War: Judgment,X360,42,"762,278","762,278",USA
2013,New Super Mario Bros. 2,3DS,72,"761,539","2,390,694",USA
2013,NBA 2K13,X360,66,"746,943","2,256,545",USA
2013,Call of Duty: Black Ops II,PS3,60,"739,122","4,244,980",USA
2013,Just Dance 4,Wii,65,"727,950","3,590,181",USA
2013,Batman: Arkham Origins,X360,11,"727,810","727,810",USA
2013,Saints Row IV,X360,20,"724,588","724,588",USA
2013,Assassin's Creed IV: Black Flag,PS3,10,"708,598","708,598",USA
2013,Batman: Arkham Origins,PS3,11,"700,003","700,003",USA
2013,Nintendo Land,WiiU,59,"686,417","1,439,181",USA
2013,Wii Sports,Wii,372,"681,413","37,723,613",USA
2013,Mario Kart 7,3DS,109,"680,942","3,285,543",USA
2013,Super Mario 3D World,WiiU,7,"666,242","666,242",USA
2013,New Super Luigi U,WiiU,19,"661,008","661,008",USA
2013,Mario Kart Wii,Wii,297,"659,801","13,839,582",USA
2013,Wii Sports Resort,Wii,232,"651,977","14,139,258",USA
2013,Tomb Raider,X360,44,"647,352","647,352",USA
2013,Battlefield 4,XOne,7,"639,991","639,991",USA
