Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area
2017,Call of Duty: WWII,PS4,9,3758479,3758479,USA
2017,Super Mario Odyssey,NS,10,3248399,3248399,USA
2017,Call of Duty: WWII,XOne,9,3018649,3018649,USA
2017,The Legend of Zelda: Breath of the Wild,NS,44,2816272,2816272,USA
2017,Mario Kart 8 Deluxe,NS,36,2359521,2359521,USA
2017,Pokemon: Ultra Sun and Ultra Moon,3DS,7,1604627,1604627,USA
2017,NBA 2K18,PS4,15,1598763,1598763,USA
2017,Horizon: Zero Dawn,PS4,44,1449284,1449284,USA
2017,Destiny 2,PS4,17,1405029,1405029,USA
2017,Madden NFL 18,PS4,19,1395905,1395905,USA
2017,Madden NFL 18,XOne,19,1316449,1316449,USA
2017,NBA 2K18,XOne,15,1249927,1249927,USA
2017,Destiny 2,XOne,17,1172209,1172209,USA
2017,Star Wars Battlefront II (2017),PS4,7,1154096,1154096,USA
2017,Splatoon 2,NS,24,1062574,1062574,USA
2017,Pokemon Sun/Moon,3DS,59,1056373,5395497,USA
2017,Grand Theft Auto V,PS4,163,1023945,4945619,USA
2017,Assassin's Creed Origins,XOne,10,933674,933674,USA
2017,FIFA 18,PS4,14,921768,921768,USA
2017,Tom Clancy's Ghost Recon Wildlands,PS4,43,887269,887269,USA
2017,Grand Theft Auto V,XOne,163,869555,3666928,USA
2017,Assassin's Creed Origins,PS4,10,863304,863304,USA
2017,MLB The Show 17,PS4,40,836775,836775,USA
2017,Star Wars Battlefront II (2017),XOne,7,819124,819124,USA
2017,Tom Clancy's Ghost Recon Wildlands,XOne,43,794434,794434,USA
2017,Crash Bandicoot N. Sane Trilogy,PS4,27,753829,753829,USA
2017,Uncharted (PS4),PS4,86,750712,4008400,USA
2017,FIFA 18,XOne,14,724621,724621,USA
2017,Resident Evil VII: Biohazard,PS4,49,652083,652083,USA
2017,Arms,NS,29,616002,616002,USA
2017,Injustice 2,PS4,33,610159,610159,USA
2017,The Legend of Zelda: Breath of the Wild,WiiU,44,589246,589246,USA
2017,Mario + Rabbids Kingdom Battle,NS,18,576679,576679,USA
2017,For Honor,PS4,46,572142,572142,USA
2017,Middle-Earth: Shadow of War,PS4,12,571215,571215,USA
2017,Call of Duty: Infinite Warfare,PS4,61,557575,2736105,USA
2017,PlayerUnknown's Battlegrounds,XOne,3,548474,548474,USA
2017,Forza Horizon 3,XOne,66,541258,1217057,USA
2017,Pokken Tournament,NS,15,525301,525301,USA
2017,Battlefield 1,XOne,63,506885,3053982,USA
2017,Mass Effect: Andromeda,PS4,41,486238,486238,USA
2017,Middle-Earth: Shadow of War,XOne,12,485928,485928,USA
2017,NBA 2K17,PS4,68,482169,2071476,USA
2017,For Honor,XOne,46,467233,467233,USA
2017,Kingdom Hearts 1.5 + 2.5 Remix,PS4,40,459348,459348,USA
2017,South Park: The Fractured But Whole,PS4,11,458838,458838,USA
2017,Forza Motorsport 7,XOne,13,449034,449034,USA
2017,Overwatch,PS4,84,442219,1429325,USA
2017,Gran Turismo Sport,PS4,11,439009,439009,USA
