Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area
2010,Wii Sports,Wii,215,"7,172,571","33,099,942",USA
2010,Call of Duty: Black Ops,X360,8,"6,373,840","6,373,840",USA
2010,Wii Sports Resort,Wii,75,"5,472,974","9,977,238",USA
2010,New Super Mario Bros. Wii,Wii,59,"5,251,154","9,101,371",USA
2010,Halo: Reach,X360,16,"4,658,373","4,658,373",USA
2010,Kinect Adventures!,X360,9,"4,185,017","4,185,017",USA
2010,Call of Duty: Black Ops,PS3,8,"3,896,876","3,896,876",USA
2010,Wii Fit Plus,Wii,65,"3,272,984","6,569,278",USA
2010,Pokemon Heart Gold / Soul Silver Version,DS,42,"3,181,379","3,181,379",USA
2010,Super Mario Galaxy 2,Wii,32,"2,602,562","2,602,562",USA
2010,Just Dance 2,Wii,12,"2,537,329","2,537,329",USA
2010,Mario Kart DS,DS,268,"2,128,800","7,582,157",USA
2010,Red Dead Redemption,X360,33,"1,985,322","1,985,322",USA
2010,Mario Kart Wii,Wii,140,"1,941,825","9,682,109",USA
2010,God of War III,PS3,42,"1,895,816","1,895,816",USA
2010,Call of Duty: Modern Warfare 2,X360,60,"1,893,033","7,038,633",USA
2010,Madden NFL 11,X360,21,"1,814,654","1,814,654",USA
2010,Just Dance,Wii,59,"1,760,845","2,041,809",USA
2010,Donkey Kong Country Returns,Wii,6,"1,715,998","1,715,998",USA
2010,Assassin's Creed: Brotherhood,X360,7,"1,606,164","1,606,164",USA
2010,Fable III,X360,10,"1,532,154","1,532,154",USA
2010,Battlefield: Bad Company 2,X360,44,"1,485,211","1,485,211",USA
2010,StarCraft II: Wings of Liberty,PC,23,"1,481,387","1,481,387",USA
2010,Madden NFL 11,PS3,21,"1,463,458","1,463,458",USA
2010,New Super Mario Bros.,DS,242,"1,456,546","8,408,286",USA
2010,Forza Motorsport 3,X360,62,"1,429,683","2,183,496",USA
2010,Call of Duty: Modern Warfare 2,PS3,60,"1,382,378","4,094,797",USA
2010,Red Dead Redemption,PS3,33,"1,278,266","1,278,266",USA
2010,Mass Effect 2,X360,49,"1,251,149","1,251,149",USA
2010,Gran Turismo 5,PS3,6,"1,241,240","1,241,240",USA
2010,Kinect Sports,X360,9,"1,231,162","1,231,162",USA
