Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area
2014,Pokemon Omega Ruby and Alpha Sapphire,3DS,6,"2,522,094","2,522,094",USA
2014,Call of Duty: Advanced Warfare,XOne,8,"2,239,179","2,239,179",USA
2014,Super Smash Bros. for Nintendo 3DS,3DS,13,"2,076,037","2,076,037",USA
2014,Call of Duty: Advanced Warfare,X360,8,"2,014,216","2,014,216",USA
2014,Minecraft: Xbox 360 Edition,X360,82,"2,005,712","3,848,066",USA
2014,Call of Duty: Advanced Warfare,PS4,8,"1,878,115","1,878,115",USA
2014,Destiny,PS4,16,"1,790,884","1,790,884",USA
2014,Mario Kart 8,WiiU,31,"1,722,469","1,722,469",USA
2014,Grand Theft Auto V,PS4,6,"1,598,237","1,598,237",USA
2014,Titanfall,XOne,42,"1,502,054","1,502,054",USA
2014,Destiny,XOne,16,"1,457,822","1,457,822",USA
2014,Super Smash Bros. for Wii U,WiiU,6,"1,382,799","1,382,799",USA
2014,Madden NFL 15,X360,18,"1,310,764","1,310,764",USA
2014,Assassin's Creed: Unity,XOne,7,"1,281,110","1,281,110",USA
2014,Madden NFL 15,PS4,18,"1,174,411","1,174,411",USA
2014,Watch Dogs,PS4,31,"1,117,076","1,117,076",USA
2014,Call of Duty: Advanced Warfare,PS3,8,"1,101,539","1,101,539",USA
2014,Halo: The Master Chief Collection,XOne,7,"1,039,274","1,039,274",USA
2014,The Last of Us Remastered,PS4,22,"1,026,185","1,026,185",USA
2014,Minecraft: PlayStation 3 Edition,PS3,33,"1,022,880","1,022,880",USA
2014,Grand Theft Auto V,XOne,6,"970,795","970,795",USA
2014,Grand Theft Auto V,X360,67,"969,639","8,021,731",USA
2014,Call of Duty: Ghosts,X360,60,"968,057","5,706,249",USA
2014,Madden NFL 15,XOne,18,"964,937","964,937",USA
2014,NBA 2K15,PS4,12,"928,582","928,582",USA
2014,Pokemon X/Y,3DS,64,"922,270","4,001,533",USA
2014,Destiny,X360,16,"918,848","918,848",USA
2014,inFAMOUS: Second Son,PS4,41,"883,895","883,895",USA
2014,Assassin's Creed IV: Black Flag,XOne,58,"859,800","1,214,190",USA
2014,NBA 2K15,X360,12,"837,748","837,748",USA
2014,Madden NFL 15,PS3,18,"819,661","819,661",USA
