Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area
2012,Call of Duty: Black Ops II,X360,7,5905481,5905481,USA
2012,Halo 4,X360,8,4671546,4671546,USA
2012,Call of Duty: Black Ops II,PS3,7,3505858,3505858,USA
2012,Kinect Adventures!,X360,113,2963647,12263822,USA
2012,Just Dance 4,Wii,12,2862231,2862231,USA
2012,Assassin's Creed III,X360,9,2123374,2123374,USA
2012,Madden NFL 13,X360,18,1904842,1904842,USA
2012,Assassin's Creed III,PS3,9,1876144,1876144,USA
2012,Pokemon Black / White Version 2,DS,12,1677317,1677317,USA
2012,New Super Mario Bros. 2,3DS,19,1629155,1629155,USA
2012,Mass Effect 3,X360,43,1554327,1554327,USA
2012,NBA 2K13,X360,13,1509602,1509602,USA
2012,Madden NFL 13,PS3,18,1509454,1509454,USA
2012,Wii Sports,Wii,319,1505305,37042200,USA
2012,Diablo III,PC,33,1407243,1407243,USA
2012,Just Dance 3,Wii,65,1382559,5153119,USA
2012,Super Mario 3D Land,3DS,59,1340877,3293470,USA
2012,Call of Duty: Modern Warfare 3,X360,60,1279558,7764449,USA
2012,Borderlands 2,X360,15,1241499,1241499,USA
2012,Mario Kart 7,3DS,56,1239347,2604601,USA
2012,Wii Sports Resort,Wii,179,1236708,13487281,USA
2012,Kinect: Disneyland Adventures,X360,59,1137096,1450230,USA
2012,Kinect Sports,X360,113,1087240,3145783,USA
2012,NBA 2K13,PS3,13,1069217,1069217,USA
2012,Forza Motorsport 4,X360,64,1051312,1598308,USA
2012,Skylanders Giants,Wii,10,981178,981178,USA
2012,Mario Kart Wii,Wii,244,956729,13179781,USA
2012,Zumba Fitness,Wii,111,937049,2844465,USA
2012,Uncharted 3: Drake's Deception,PS3,61,930862,2181406,USA
2012,The Elder Scrolls V: Skyrim,X360,60,925795,3576147,USA
2012,NBA 2K12,X360,65,925706,2017208,USA
2012,Zumba Fitness 2,Wii,59,913625,1216118,USA
2012,New Super Mario Bros. Wii,Wii,163,897750,12166616,USA
2012,Call of Duty: Modern Warfare 3,PS3,60,864202,4782024,USA
2012,FIFA Soccer 13,X360,14,772355,772355,USA
2012,NCAA Football 13,X360,25,770811,770811,USA
2012,Battlefield 3,X360,62,759971,3669367,USA
2012,Resident Evil 6,X360,13,757099,757099,USA
2012,Nintendo Land,WiiU,6,752764,752764,USA
2012,Mario Party 9,Wii,42,741964,741964,USA
2012,MLB 12: The Show,PS3,43,714057,714057,USA
2012,FIFA Soccer 13,PS3,14,700551,700551,USA
2012,Guild Wars 2,PC,18,681531,681531,USA
2012,Kinect Star Wars,X360,39,673382,673382,USA
2012,Skylanders: Spyro's Adventure,Wii,63,660546,1061339,USA
2012,Max Payne 3,X360,33,646999,646999,USA
2012,Tom Clancy's Ghost Recon: Future Soldier,X360,32,644123,644123,USA
2012,Final Fantasy XIII-2,PS3,48,635691,635691,USA
2012,Dishonored,X360,12,631629,631629,USA
2012,Far Cry 3,X360,4,592000,592000,USA
2012,Battlefield 3,PS3,62,591578,2274492,USA
2012,Batman: Arkham City,X360,63,585951,1972182,USA
2012,Borderlands 2,PS3,15,580543,580543,USA
2012,NCAA Football 13,PS3,25,580183,580183,USA
2012,Batman: Arkham City,PS3,63,573049,1810593,USA
2012,New Super Mario Bros. U,WiiU,6,567302,567302,USA
2012,Resident Evil 6 Anthology,PS3,13,563352,563352,USA
2012,NBA 2K12,PS3,65,561467,1401322,USA
