Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area,Weeks Avg
2007,Pokemon Diamond / Pearl Version,DS,67,1098082,5571774,Japan,83160.8059701493
2011,Pokémon Black and White,DS,68,454312,5505220,Japan,80959.1176470588
2011,Monster Hunter Freedom 3,PSP,57,846748,4609096,Japan,80861.3333333333
2010,New Super Mario Bros. Wii,Wii,57,1455548,4202418,Japan,73726.6315789474
2014,Pocket Monsters X/Y,3DS,64,338648,4276631,Japan,66822.359375
2017,Pokemon Sun/Moon,3DS,59,529532,3816397,Japan,64684.6949152542
2013,Animal Crossing: Jump Out,3DS,61,1695507,3761766,Japan,61668.2950819672
2007,New Super Mario Bros.,DS,84,1206795,5167150,Japan,61513.6904761905
2010,Pokemon Heart Gold / Soul Silver Version,DS,69,385284,3941794,Japan,57127.4492753623
2010,Dragon Quest IX: Sentinels of the Starry Skies,DS,78,206130,4342072,Japan,55667.5897435897
2008,Wii Fit,Wii,58,2220394,3099110,Japan,53432.9310344828
2014,Monster Hunter 4,3DS,68,194878,3429341,Japan,50431.4852941177
2015,Pocket Monsters Omega Ruby and Alpha Sapphire,3DS,59,464094,2909367,Japan,49311.3050847458
2016,Monster Hunter X,3DS,58,264416,2806400,Japan,48386.2068965517
2015,Youkai Watch 2 Shinuchi,3DS,56,625272,2669597,Japan,47671.375
2007,Wii Sports,Wii,57,1983458,2560472,Japan,44920.5614035088
2010,Tomodachi Collection,DS,81,1047336,3552501,Japan,43858.037037037
2018,Pokemon: Ultra Sun and Ultra Moon,3DS,59,481410,2550655,Japan,43231.4406779661
2015,Youkai Watch 2 Ganso/Honke,3DS,78,126878,3160089,Japan,40513.9615384615
2015,Monster Hunter 4G,3DS,65,245838,2610484,Japan,40161.2923076923
2018,Splatoon 2,NS,76,1133448,3006864,Japan,39564
2009,Monster Hunter Freedom Unite,PSP,93,883047,3650397,Japan,39251.5806451613
2013,Pokemon Black / White Version 2,DS,81,170433,3079128,Japan,38013.9259259259
2009,Pokemon Platinum Version,DS,69,292148,2587161,Japan,37495.0869565217
2007,Wii Play,Wii,57,1538780,2067534,Japan,36272.5263157895
2015,Dairantou Smash Bros. for Nintendo 3DS,3DS,69,350091,2365983,Japan,34289.6086956522
2012,Mario Kart 7,3DS,57,752702,1941940,Japan,34069.1228070175
2010,Wii Fit Plus,Wii,66,799263,2216637,Japan,33585.4090909091
2018,Super Mario Odyssey,NS,62,555645,2022159,Japan,32615.4677419355
2012,Monster Hunter 3G,3DS,56,727236,1713910,Japan,30605.5357142857
2008,Mario Party DS,DS,61,589017,1850022,Japan,30328.2295081967
2016,Yokai Watch Busters,3DS,78,163854,2301547,Japan,29507.0128205128
2013,New Super Mario Bros. 2,3DS,76,474799,2241761,Japan,29496.8552631579
2012,Super Mario 3D Land,3DS,61,689681,1781900,Japan,29211.4754098361
2011,Wii Party,Wii,78,554185,2236384,Japan,28671.5897435897
2007,Dragon Quest Monsters: Joker,DS,53,860628,1487650,Japan,28068.8679245283
2010,Wii Sports Resort,Wii,80,584556,2217512,Japan,27718.9
2009,Mario Kart Wii,Wii,91,422146,2488262,Japan,27343.5384615385
2014,Puzzle & Dragons Z,3DS,55,322222,1480611,Japan,26920.2
2007,Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,DS,62,677852,1641406,Japan,26474.2903225806
2009,Rhythm Heaven,DS,75,360094,1815646,Japan,24208.6133333333
2018,Mario Kart 8 Deluxe,NS,88,931989,2106185,Japan,23933.9204545455
2007,English Training: Have Fun Improving Your Skills!,DS,101,585388,2234844,Japan,22127.1683168317
2008,Pokemon Mystery Dungeon: Explorers of Time / Darkness,DS,69,197700,1518216,Japan,22003.1304347826
2017,Super Mario Maker,3DS,57,380316,1201726,Japan,21082.9122807018
2009,Animal Crossing: City Folk,Wii,59,236241,1206141,Japan,20443.0677966102
2008,Dragon Quest IV: Chapters of the Chosen,DS,59,167947,1188984,Japan,20152.2711864407
2009,Super Smash Bros. Brawl,Wii,101,137442,2031470,Japan,20113.5643564356
2014,Tomodachi Collection: Shin Seikatsu,3DS,89,117228,1745036,Japan,19607.1460674157
2017,Yokai Watch 3,3DS,77,88491,1499941,Japan,19479.7532467532
2016,Animal Crossing: Happy Home Designer,3DS,75,102019,1413601,Japan,18848.0133333333
2009,Kirby Super Star Ultra,DS,61,159540,1144891,Japan,18768.7049180328
2008,Mario Party 8,Wii,76,297483,1405477,Japan,18493.1184210526
2011,Donkey Kong Country Returns,Wii,56,337957,1012101,Japan,18073.2321428571
2013,New Super Mario Bros. U,WiiU,57,648931,1022487,Japan,17938.3684210526
2008,Monster Hunter Freedom 2,PSP,98,249645,1753219,Japan,17889.9897959184
2016,Splatoon,WiiU,84,350163,1498326,Japan,17837.2142857143
2017,Final Fantasy XV,PS4,57,148048,1015916,Japan,17823.0877192982
2010,Inazuma Eleven 2: Kyoui no Shinryokusha,DS,66,190339,1172851,Japan,17770.4696969697
2007,Kirby Squeak Squad,DS,61,301622,1044155,Japan,17117.2950819672
2014,Youkai Watch,3DS,77,1006125,1306901,Japan,16972.7402597403
2008,Super Mario Galaxy,Wii,62,235150,1005273,Japan,16214.0806451613
2016,Monster Strike 3DS,3DS,55,173931,886175,Japan,16112.2727272727
2012,Final Fantasy XIII-2,PS3,55,150665,867392,Japan,15770.7636363636
2008,Professor Layton and the Diabolical Box,DS,58,287165,881646,Japan,15200.7931034483
2017,Yo-Kai Watch 3: Sukiyaki,3DS,55,246339,809069,Japan,14710.3454545455
2007,Tetris DS,DS,88,290972,1290863,Japan,14668.8977272727
2009,Style Savvy,DS,63,268109,892906,Japan,14173.1111111111
2015,Mario Kart 8,WiiU,84,340711,1184845,Japan,14105.2976190476
2009,Professor Layton and the Unwound Future,DS,58,167049,817147,Japan,14088.7413793103
2016,Super Mario Maker,WiiU,69,238634,969533,Japan,14051.2028985507
2014,Grand Theft Auto V,PS3,64,204790,857127,Japan,13392.609375
2010,The Legend of Zelda: Spirit Tracks,DS,54,288279,716183,Japan,13262.6481481481
2014,Wii Party U,WiiU,61,218927,804297,Japan,13185.1967213115
2018,The Legend of Zelda: Breath of the Wild,NS,96,493020,1259899,Japan,13123.9479166667
2015,Dairantou Smash Bros. for Wii U,WiiU,57,250934,730026,Japan,12807.4736842105
2007,Personal Trainer: Cooking,DS,76,249884,956962,Japan,12591.6052631579
2008,Flash Focus: Vision Training in Minutes a Day,DS,84,212884,1010860,Japan,12034.0476190476
2012,Kirby's Return to Dreamland,Wii,62,203261,736032,Japan,11871.4838709677
2009,Taiko no Tatsujin Wii,Wii,56,377628,653489,Japan,11669.4464285714
2008,Final Fantasy IV,DS,55,191344,616820,Japan,11214.9090909091
2007,Yakuza 2,PS2,56,165081,621304,Japan,11094.7142857143
2007,WarioWare: Smooth Moves,Wii,57,430940,631646,Japan,11081.5087719298
2016,MineCraft,PSV,94,436282,1016206,Japan,10810.7021276596
2013,Taiko no Tatsujin Wii: Super Deluxe Edition,Wii,58,305633,626024,Japan,10793.5172413793
2007,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou,DS,60,427179,646566,Japan,10776.1
2013,Dragon Quest X,Wii,75,192688,805576,Japan,10741.0133333333
2012,Just Dance Wii,Wii,64,224404,681869,Japan,10654.203125
2014,Super Mario 3D World,WiiU,58,158994,614449,Japan,10593.9482758621
2013,Paper Mario: Sticker Star,3DS,57,189578,588416,Japan,10323.0877192982
