Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area,Weeks Avg
2018,FIFA 18,PS4,66,1118878,8641831,Europe,130936.8333
2014,Grand Theft Auto V,PS3,68,923279,8441998,Europe,124147.0294
2017,FIFA 17,PS4,66,884206,7915687,Europe,119934.6515
2010,Wii Sports Resort,Wii,76,3732718,8475036,Europe,111513.6316
2018,Call of Duty: WWII,PS4,61,815656,6210046,Europe,101804.0328
2010,Wii Fit Plus,Wii,62,3398030,6227019,Europe,100435.7903
2016,Call of Duty: Black Ops 3,PS4,61,1339608,5828664,Europe,95551.86885
2007,Wii Sports,Wii,56,4530522,5165135,Europe,92234.55357
2009,Wii Fit,Wii,89,3259865,7969161,Europe,89541.13483
2010,New Super Mario Bros. Wii,Wii,59,2820930,5112369,Europe,86650.32203
2012,Call of Duty: Modern Warfare 3,PS3,60,875923,5163344,Europe,86055.73333
2016,FIFA 16,PS4,67,945056,5742885,Europe,85714.70149
2009,Mario Kart Wii,Wii,91,2898616,7774381,Europe,85432.75824
2013,Call of Duty: Black Ops II,PS3,60,968215,5054465,Europe,84241.08333
2015,Grand Theft Auto V,PS4,59,2281513,4854539,Europe,82280.32203
2017,Pokemon Sun/Moon,3DS,58,1019736,4284752,Europe,73875.03448
2013,FIFA 13,PS3,67,988674,4832345,Europe,72124.55224
2014,Grand Theft Auto V,X360,68,566185,4873295,Europe,71666.10294
2013,Call of Duty: Black Ops II,X360,60,633899,3940993,Europe,65683.21667
2012,Call of Duty: Modern Warfare 3,X360,60,561942,3920477,Europe,65341.28333
2015,FIFA 15,PS4,67,860437,4255032,Europe,63507.9403
2014,FIFA 14,PS3,67,694879,4149415,Europe,61931.56716
2011,Gran Turismo 5,PS3,58,400758,3570726,Europe,61564.24138
2012,FIFA 12,PS3,66,894079,4063138,Europe,61562.69697
2018,Super Mario Odyssey,NS,62,1592019,3753636,Europe,60542.51613
2017,Call of Duty: Infinite Warfare,PS4,61,973816,3641469,Europe,59696.21311
2017,Battlefield 1,PS4,63,586874,3598144,Europe,57113.39683
2014,Call of Duty: Ghosts,PS3,61,742269,3469348,Europe,56874.55738
2018,Mario Kart 8 Deluxe,NS,88,2802037,4980201,Europe,56593.19318
2011,Kinect Adventures!,X360,60,838715,3380659,Europe,56344.31667
