Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area
2013,Pocket Monsters X/Y,3DS,13,"3,937,983","3,937,983",Japan
2013,Monster Hunter 4,3DS,17,"3,234,463","3,234,463",Japan
2013,Animal Crossing: Jump Out,3DS,61,"1,695,507","3,761,766",Japan
2013,Tomodachi Collection: Shin Seikatsu,3DS,38,"1,627,808","1,627,808",Japan
2013,Dragon Warrior VII,3DS,48,"1,238,025","1,238,025",Japan
2013,Puzzle & Dragons Z,3DS,4,"1,158,389","1,158,389",Japan
2013,Luigi's Mansion: Dark Moon,3DS,42,"1,010,295","1,010,295",Japan
2013,Grand Theft Auto V,PS3,13,"652,337","652,337",Japan
2013,New Super Mario Bros. U,WiiU,57,"648,931","1,022,487",Japan
2013,Wii Party U,WiiU,10,"585,370","585,370",Japan
2013,JoJo's Bizarre Adventure: All Star Battle,PS3,19,"484,963","484,963",Japan
2013,New Super Mario Bros. 2,3DS,76,"474,799","2,241,761",Japan
2013,Super Mario 3D World,WiiU,7,"455,455","455,455",Japan
2013,Metal Gear Rising: Revengeance,PS3,46,"436,510","436,510",Japan
2013,Disney Magic Castle: My Happy Life,3DS,23,"429,481","429,481",Japan
2013,One Piece: Pirate Warriors 2,PS3,42,"413,462","413,462",Japan
2013,Lightning Returns: Final Fantasy XIII,PS3,7,"408,143","408,143",Japan
2013,Mario & Luigi: Dream Team,3DS,25,"403,633","403,633",Japan
2013,God Eater 2,PSV,8,"376,733","376,733",Japan
2013,Phoenix Wright: Ace Attorney - Dual Destinies,3DS,24,"363,300","363,300",Japan
2013,Call of Duty: Ghosts,PS3,8,"345,323","345,323",Japan
2013,Dynasty Warriors 8,PS3,45,"335,295","335,295",Japan
2013,Mario Kart 7,3DS,110,"314,975","2,256,915",Japan
2013,Donkey Kong Country Returns 3D,3DS,30,"313,496","313,496",Japan
2013,Taiko no Tatsujin Wii: Super Deluxe Edition,Wii,58,"305,633","626,024",Japan
2013,Gran Turismo 6,PS3,5,"300,914","300,914",Japan
2013,Youkai Watch,3DS,26,"300,776","300,776",Japan
2013,The Legend of Zelda: A Link Between Worlds,3DS,2,"296,226","296,226",Japan
2013,World Soccer Winning Eleven 2014,PS3,8,"282,385","282,385",Japan
2013,Dragon Ball Heroes: Ultimate Mission,3DS,45,"271,403","271,403",Japan
2013,Earth Defense Force 4,PS3,27,"265,962","265,962",Japan
2013,Shin Megami Tensei IV,3DS,33,"265,806","265,806",Japan
2013,Gundam Breaker,PS3,28,"258,980","258,980",Japan
2013,Final Fantasy XIV: A Realm Reborn,PS3,19,"251,465","251,465",Japan
2013,Professor Layton and the Legacy of Civilization A,3DS,45,"244,357","244,357",Japan
2013,Kingdom Hearts,PS3,43,"240,964","240,964",Japan
2013,Toukiden,PSV,28,"239,702","239,702",Japan
2013,Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,3DS,78,"235,743","579,526",Japan
2013,Fantasy Life,3DS,54,"235,434","361,382",Japan
2013,Monster Hunter Tri,3DS,109,"232,874","1,946,784",Japan
2013,Pikmin 3,WiiU,26,"227,166","227,166",Japan
2013,The Last of Us,PS3,29,"226,941","226,941",Japan
2013,Final Fantasy X / X-2 HD Remaster,PS3,2,"226,139","226,139",Japan
2013,Jikkyou Powerful Pro Yakyuu 2013,PS3,11,"225,637","225,637",Japan
2013,Dragon's Dogma,PS3,85,"225,413","715,954",Japan
2013,Tousouchuu: Shijou Saikyou no Hunter-Tachi Kara Nigekire!,3DS,79,"221,650","569,426",Japan
2013,Sentouchu: Densetsu no Shinobi to Survival Battle!,3DS,12,"221,294","221,294",Japan
2013,Sword Art Online: Infinity Moment,PSP,43,"220,837","220,837",Japan
2013,Soul Sacrifice,PSV,44,"220,098","220,098",Japan
2013,One Piece Unlimited World: Red,3DS,7,"213,569","213,569",Japan
2013,Super Mario 3D Land,3DS,114,"202,599","1,984,499",Japan
2013,Inazuma Eleven GO 3: Galaxy - Supernova,3DS,5,"201,869","201,869",Japan
2013,God Eater 2,PSP,8,"199,548","199,548",Japan
2013,Pro Yakyuu Spirits 2013,PS3,42,"195,161","195,161",Japan
2013,Resident Evil: Revelations,PS3,33,"194,482","194,482",Japan
2013,Dragon Quest X,Wii,75,"192,688","805,576",Japan
2013,Aikatsu! 2-nin no My Princess,3DS,7,"190,978","190,978",Japan
2013,Final Fantasy X / X-2 HD Remaster,PSV,2,"190,888","190,888",Japan
2013,Pro Yakyuu Spirits 2013,PSP,42,"190,194","190,194",Japan
2013,Paper Mario: Sticker Star,3DS,57,"189,578","588,416",Japan
2013,DMC,PS3,51,"189,299","189,299",Japan
2013,Battlefield 4,PS3,10,"188,860","188,860",Japan
2013,Shin Gundam Musou,PS3,3,"188,636","188,636",Japan
2013,Kamen Rider: Battride War,PS3,33,"187,859","187,859",Japan
2013,Next Hatsune Miku: Project Diva,PS3,44,"187,559","187,559",Japan
2013,Shingeki no Kyojin ~Hangeki no Tsubasa~,3DS,5,"184,923","184,923",Japan
2013,Call of Duty: Black Ops II,PS3,59,"180,998","527,819",Japan
2013,Super Robot Wars UX,3DS,43,"179,031","179,031",Japan
2013,Nintendo Land,WiiU,57,"177,202","386,288",Japan
2013,Dragon Quest X,WiiU,41,"176,685","176,685",Japan
2013,Pokemon Black / White Version 2,DS,81,"170,433","3,079,128",Japan
2013,Toukiden,PSP,28,"168,863","168,863",Japan
2013,Dragon's Crown,PS3,24,"161,917","161,917",Japan
2013,Hatsune Miku: Project Mirai 2,3DS,6,"161,223","161,223",Japan
2013,Senran Kagura Shinovi Versus: Shoujotachi no Shoumei,PSV,45,"159,049","159,049",Japan
2013,Naruto Shippuden: Narutimate Storm 3,PS3,38,"148,883","148,883",Japan
2013,Warriors Orochi 3,PS3,107,"148,593","547,240",Japan
2013,Drakengard 3,PS3,10,"146,693","146,693",Japan
2013,Inazuma Eleven Go 2: Chrono Stone,3DS,56,"144,603","456,052",Japan
2013,Summon Night 5,PSP,34,"142,112","142,112",Japan
2013,Jikkyou Powerful Pro Yakyuu 2013,PSP,11,"136,008","136,008",Japan
2013,Etrian Odyssey: Millennium Girl,3DS,28,"135,148","135,148",Japan
2013,7th Dragon 2020-II,PSP,38,"123,467","123,467",Japan
2013,The Legend of Heroes: Sen no Kiseki,PSV,15,"121,842","121,842",Japan
2013,Kuma-Tomo,3DS,29,"119,768","119,768",Japan
2013,Style Savvy: Trendsetters,3DS,67,"119,739","378,953",Japan
2013,One Piece: Pirate Warriors 2,PSV,42,"119,451","119,451",Japan
2013,Magician's Quest: Town of Magic,3DS,55,"117,350","189,946",Japan
