Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area
2017,Pokemon: Ultra Sun and Ultra Moon,3DS,7,2069245,2069245,Japan
2017,Splatoon 2,NS,24,1873416,1873416,Japan
2017,Dragon Quest XI,3DS,23,1790696,1790696,Japan
2017,Monster Hunter Double Cross,3DS,42,1641053,1641053,Japan
2017,Super Mario Odyssey,NS,10,1466514,1466514,Japan
2017,Dragon Quest XI,PS4,23,1415681,1415681,Japan
2017,Mario Kart 8 Deluxe,NS,36,1174196,1174196,Japan
2017,The Legend of Zelda: Breath of the Wild,NS,44,766879,766879,Japan
2017,Pokemon Sun/Moon,3DS,59,529532,3816397,Japan
2017,Yo-kai Watch Busters 2: Legend of the Secret Treasure Banbarayar - Sword/Magnum,3DS,3,398931,398931,Japan
2017,NieR Automata,PS4,45,394496,394496,Japan
2017,Resident Evil VII: Biohazard,PS4,49,380982,380982,Japan
2017,Super Mario Maker,3DS,57,380316,1201726,Japan
2017,Call of Duty: WWII,PS4,9,338331,338331,Japan
2017,1-2-Switch,NS,44,333185,333185,Japan
2017,Arms,NS,29,321471,321471,Japan
2017,Animal Crossing: New Leaf,3DS,269,284058,4754731,Japan
2017,Yo-Kai Watch 3: Sukiyaki,3DS,55,246339,809069,Japan
2017,Horizon: Zero Dawn,PS4,44,235022,235022,Japan
2017,The Snack World: TreJarers,3DS,21,227556,227556,Japan
2017,Dragon Ball Heroes: Ultimate Mission X,3DS,36,224415,224415,Japan
2017,Tom Clancy's Ghost Recon Wildlands,PS4,43,214685,214685,Japan
2017,Gran Turismo Sport,PS4,11,208827,208827,Japan
2017,Fire Emblem Echoes: Shadows of Valentia,3DS,37,207541,207541,Japan
2017,Kingdom Hearts HD 2.8 Final Chapter Prologue,PS4,51,204099,204099,Japan
2017,Monster Hunter Double Cross,NS,19,203776,203776,Japan
2017,Dragon Quest Monsters: Joker 3 - Professional,3DS,47,201799,201799,Japan
2017,Ni-Oh,PS4,47,189561,189561,Japan
2017,Pokken Tournament,NS,15,188890,188890,Japan
2017,MineCraft,PSV,146,187239,1203445,Japan
2017,Gundam Versus,PS4,26,182151,182151,Japan
2017,Momotaro Dentetsu 2017: Tachiagare Nippon!!,3DS,54,180103,388983,Japan
2017,Mario Kart,3DS,318,176751,2908386,Japan
2017,Yakuza Kiwami 2,PS4,4,176110,176110,Japan
2017,Earth Defense Force 5,PS4,4,171972,171972,Japan
2017,Hey! Pikmin,3DS,25,164029,164029,Japan
2017,Xenoblade Chronicles 2,NS,5,163935,163935,Japan
2017,Everybody's Golf,PS4,18,162645,162645,Japan
2017,Yoshi's Woolly World,3DS,50,161412,161412,Japan
2017,Final Fantasy XII: The Zodiac Age,PS4,25,156331,156331,Japan
2017,Final Fantasy XV,PS4,57,148048,1015916,Japan
2017,Layton's Mystery Journey: Katrielle and the Millionaire's Conspiracy,3DS,27,146546,146546,Japan
2017,Kingdom Hearts 1.5 + 2.5 Remix,PS4,43,145712,145712,Japan
2017,Grand Theft Auto V,PS4,160,145396,551512,Japan
2017,Super Robot Wars V,PS4,45,144228,144228,Japan
2017,The Legend of Zelda: Breath of the Wild,WiiU,44,143873,143873,Japan
2017,Pro Evolution Soccer 2018,PS4,16,134865,134865,Japan
2017,Super Bomberman R,NS,44,134634,134634,Japan
2017,New Danganronpa V3: Minna no Koroshiai Shin Gakki,PSV,51,133353,133353,Japan
2017,Mario Sports Superstars,3DS,40,131593,131593,Japan
2017,ARK: Survival Evolved,PS4,10,128236,128236,Japan
