Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area
2016,Pokemon Sun/Moon,3DS,7,3286865,3286865,Japan
2016,Yokai Watch 3,3DS,25,1411450,1411450,Japan
2016,Final Fantasy XV,PS4,5,886778,886778,Japan
2016,Super Mario Maker,3DS,5,821410,821410,Japan
2016,Dragon Quest Monsters Joker 3,3DS,41,646167,646167,Japan
2016,Yokai Sangokushi,3DS,40,572125,572125,Japan
2016,Yo-Kai Watch 3: Sukiyaki,3DS,3,562730,562730,Japan
2016,Kirby: Planet Robobot,3DS,36,519393,519393,Japan
2016,MineCraft,PSV,94,436282,1016206,Japan
2016,Persona 5,PS4,16,387173,387173,Japan
2016,Splatoon,WiiU,84,350163,1498326,Japan
2016,Dark Souls III,PS4,41,348690,348690,Japan
2016,Monster Hunter Stories,3DS,13,313553,313553,Japan
2016,Yakuza 6,PS4,4,313544,313544,Japan
2016,Dragon Quest Builders: Revive Alefgard,PSV,49,309225,309225,Japan
2016,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,32,298126,298126,Japan
2016,Ace Attorney 6,3DS,30,288274,288274,Japan
2016,Mario & Sonic at the Rio 2016 Olympic Games,3DS,46,271013,271013,Japan
2016,Monster Hunter X,3DS,58,264416,2806400,Japan
2016,Minecraft,WiiU,28,261556,261556,Japan
2016,Puzzle & Dragons X: God Chapter / Dragon Chapter,3DS,23,257365,257365,Japan
2016,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PSV,32,247758,247758,Japan
2016,Animal Crossing: New Leaf,3DS,217,246404,4470673,Japan
2016,Tales of Berseria,PS4,20,240525,240525,Japan
2016,Super Mario Maker,WiiU,69,238634,969533,Japan
2016,Battlefield 1,PS4,11,238246,238246,Japan
2016,Dragon Quest Builders: Revive Alefgard,PS4,49,234063,234063,Japan
2016,Story of Seasons: Good Friends of the Three Villages,3DS,28,214789,214789,Japan
2016,Dragon Ball: Fusions,3DS,22,208939,208939,Japan
2016,Momotaro Dentetsu 2017: Tachiagare Nippon!!,3DS,2,208880,208880,Japan
2016,Kan Colle Kai,PSV,46,205029,205029,Japan
2016,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,111,199879,3109246,Japan
2016,Jikkyou Powerful Pro Baseball 2016,PSV,36,196307,196307,Japan
2016,Uncharted (PS4),PS4,34,193394,193394,Japan
2016,Jikkyou Powerful Pro Baseball 2016,PS4,36,185130,185130,Japan
2016,Pokken Tournament,WiiU,42,182078,182078,Japan
2016,Monster Strike 3DS,3DS,55,173931,886175,Japan
