Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area
2015,Monster Hunter X,3DS,6,2541984,2541984,Japan
2015,Yo-Kai Watch Busters: Red Cat Team / White Dog Squad,3DS,26,2137693,2137693,Japan
2015,Doubutsu no Mori: Happy Home Designer,3DS,23,1311582,1311582,Japan
2015,Splatoon,WiiU,32,1148163,1148163,Japan
2015,Dragon Quest VIII: Journey of the Cursed King,3DS,19,833735,833735,Japan
2015,Super Mario Maker,WiiU,17,730899,730899,Japan
2015,Monster Strike 3DS,3DS,3,712244,712244,Japan
2015,Rhythm Heaven: The Best+,3DS,30,632668,632668,Japan
2015,Youkai Watch 2 Shinuchi,3DS,56,625272,2669597,Japan
2015,MineCraft,PSV,42,579924,579924,Japan
2015,Fire Emblem Fates: Black Kingdom / White Kingdom,3DS,28,507336,507336,Japan
2015,Dragon Quest Heroes,PS3,45,481167,481167,Japan
2015,Pocket Monsters Omega Ruby and Alpha Sapphire,3DS,59,464094,2909367,Japan
2015,The Legend of Zelda: Majora's Mask 3D,3DS,47,458882,458882,Japan
2015,Metal Gear Solid V: The Phantom Pain,PS4,18,444783,444783,Japan
2015,Tales of Zesteria,PS3,50,406780,406780,Japan
2015,God Eater 2: Rage Burst,PSV,46,353635,353635,Japan
2015,Dairantou Smash Bros. for Nintendo 3DS,3DS,69,350091,2365983,Japan
2015,Dragon Quest Heroes,PS4,45,342091,342091,Japan
2015,Mario Kart 8,WiiU,84,340711,1184845,Japan
2015,Puzzle & Dragons Z + Super Mario Bros. Edition,3DS,36,329618,329618,Japan
2015,Pokemon Super Mystery Dungeon,3DS,16,307185,307185,Japan
2015,Call of Duty: Black Ops 3,PS4,9,264727,264727,Japan
2015,Bloodborne,PS4,41,252008,252008,Japan
2015,Dairantou Smash Bros. for Wii U,WiiU,57,250934,730026,Japan
2015,Monster Hunter 4G,3DS,65,245838,2610484,Japan
2015,Animal Crossing: Jump Out,3DS,165,240648,4224269,Japan
2015,Yakuza 0,PS3,43,236359,236359,Japan
2015,Girls Mode 3: Kirakira Code,3DS,38,224520,224520,Japan
2015,Sword Art Online: Lost Song,PSV,41,215980,215980,Japan
2015,Metal Gear Solid V: The Phantom Pain,PS3,18,212396,212396,Japan
2015,Mario Party 10,WiiU,43,207676,207676,Japan
2015,Mario & Luigi: Paper Jam,3DS,5,199699,199699,Japan
2015,Great Phoenix Wright: Ace Attorney - Naruhodou Ryuunosuke no Bouken,3DS,18,193025,193025,Japan
2015,Star Wars Battlefront (2015),PS4,7,188945,188945,Japan
2015,God Eater Resurrection,PSV,10,179652,179652,Japan
2015,Fallout 4,PS4,3,178816,178816,Japan
2015,One Piece: Kaizoku Musou 3,PS3,41,176550,176550,Japan
2015,3rd Super Robot Wars Z: Tengoku-Hen,PSV,40,172100,172100,Japan
2015,Bravely Second,3DS,37,169394,169394,Japan
2015,The Witcher 3: Wild Hunt,PS4,33,169071,169071,Japan
2015,Dragon Quest X: Mezameshi Itsutsu no Shuzoku Online,WiiU,145,157773,380962,Japan
2015,Mario Kart 7,3DS,214,153280,2591877,Japan
2015,Digimon Story: Cyber Sleuth,PSV,43,151139,151139,Japan
2015,Yakuza 0,PS4,43,149938,149938,Japan
2015,Legend of Zelda: Triforce Heroes,3DS,11,146296,146296,Japan
2015,Dragon Ball Z: Extreme Butouden,3DS,30,146246,146246,Japan
2015,3rd Super Robot Wars Z: Tengoku-Hen,PS3,40,144584,144584,Japan
2015,Resident Evil: Revelations 2,PS3,42,144152,144152,Japan
2015,Final Fantasy Type-0,PS4,42,140635,140635,Japan
2015,Theatrhythm Dragon Quest,3DS,41,139989,139989,Japan
2015,Persona 4: Dancing All Night,PSV,28,137608,137608,Japan
2015,Tokyo Xanadu,PSV,14,135882,135882,Japan
2015,Pro Baseball Spirits 2015,PS3,41,134974,134974,Japan
2015,Grand Theft Auto V,PS4,56,133123,246450,Japan
2015,Xenoblade Chronicles X,WiiU,36,131946,131946,Japan
2015,Super Robot Wars BX,3DS,12,131906,131906,Japan
2015,Monster Hunter Diary: Poka Poka Airou Village DX,3DS,17,129453,129453,Japan
2015,Battlefield: Hardline,PS4,42,129056,129056,Japan
2015,Dragon Ball: Xenoverse,PS3,48,127795,127795,Japan
2015,Youkai Watch 2 Ganso/Honke,3DS,78,126878,3160089,Japan
2015,Pro Baseball Spirits 2015,PSV,41,120716,120716,Japan
2015,Dragon Quest X: Mezameshi Itsutsu no Shuzoku Online,Wii,179,117439,949564,Japan
2015,Disney Magic World 2,3DS,4,117396,117396,Japan
2015,Pro Evolution Soccer 2016,PS3,16,116800,116800,Japan
2015,Assassination Classroom: Grand Siege on Kuro-sensei,3DS,43,112787,112787,Japan
2015,One Piece: Kaizoku Musou 3,PSV,41,112704,112704,Japan
2015,7th Dragon III Code: VFD,3DS,12,112670,112670,Japan
2015,Etrian Odyssey x Mystery Dungeon,3DS,44,112466,112466,Japan
2015,Kirby and the Rainbow Curse,WiiU,50,109942,109942,Japan
2015,Mobile Suit Gundam: Extreme VS Force,PSV,2,108041,108041,Japan
2015,Xenoblade Chronicles,3DS,40,106733,106733,Japan
2015,Yoshi's Woolly World,WiiU,25,100169,100169,Japan
