Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area
2008,Monster Hunter Freedom Unite,PSP,41,2767350,2767350,Japan
2008,Pokemon Platinum Version,DS,17,2295013,2295013,Japan
2008,Wii Fit,Wii,58,2220394,3099110,Japan
2008,Mario Kart Wii,Wii,39,2066116,2066116,Japan
2008,Super Smash Bros. Brawl,Wii,49,1894028,1894028,Japan
2008,Rhythm Heaven,DS,23,1455552,1455552,Japan
2008,Dragon Quest V: Hand of the Heavenly Bride,DS,25,1209507,1209507,Japan
2008,Kirby Super Star Ultra,DS,9,985351,985351,Japan
2008,Animal Crossing: City Folk,Wii,7,969900,969900,Japan
2008,Wii Sports,Wii,110,862874,3423346,Japan
2008,Dissidia: Final Fantasy,PSP,3,759598,759598,Japan
2008,Metal Gear Solid 4: Guns of the Patriots,PS3,30,666006,666006,Japan
2008,Professor Layton and the Unwound Future,DS,6,650098,650098,Japan
2008,Style Savvy,DS,11,624797,624797,Japan
2008,Pokemon Ranger: Shadows of Almia,DS,42,616540,616540,Japan
2008,Phantasy Star Portable,PSP,23,615572,615572,Japan
2008,Mario Kart DS,DS,161,598461,3488483,Japan
2008,Wii Play,Wii,110,596477,2664011,Japan
2008,Mario Party DS,DS,61,589017,1850022,Japan
2008,Super Robot Taisen Z,PS2,15,488790,488790,Japan
2008,Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,DS,37,482709,482709,Japan
2008,DS Bimoji Training,DS,43,458811,458811,Japan
2008,Jam With the Band,DS,28,443614,443614,Japan
2008,Chrono Trigger,DS,7,443295,443295,Japan
2008,Mario & Sonic at the Olympic Games,DS,51,403186,403186,Japan
2008,Warriors Orochi 2 (JP sales),PS2,40,400973,400973,Japan
2008,Mobile Suit Gundam: Gundam vs. Gundam,PSP,7,393870,393870,Japan
2008,New Super Mario Bros.,DS,137,388063,5555213,Japan
2008,Gran Turismo 5 Prologue,PS3,56,382005,545382,Japan
2008,Animal Crossing: Wild World,DS,163,365330,5044307,Japan
2008,Wii Music,Wii,12,349675,349675,Japan
2008,Shin Megami Tensei: Persona 4,PS2,26,317336,317336,Japan
2008,PES 2009: Pro Evolution Soccer,PS3,6,316190,316190,Japan
2008,Jikkyou Powerful Pro Yakyuu Portable 3,PSP,25,313498,313498,Japan
2008,Derby Stallion DS,DS,28,312748,312748,Japan
2008,Devil May Cry 4,PS3,39,312651,312651,Japan
2008,Mario Party 8,Wii,76,297483,1405477,Japan
2008,Ryu Ga Gotoku Kenzan!,PS3,44,291175,291175,Japan
2008,Professor Layton and the Diabolical Box,DS,58,287165,881646,Japan
2008,White Knight Chronicles: International Edition,PS3,2,280963,280963,Japan
2008,Magician's Quest: Mysterious Times,DS,8,276570,276570,Japan
2008,Taiko no Tatsujin Wii,Wii,4,275861,275861,Japan
2008,Gundam Musou Special,PS2,45,275691,275691,Japan
2008,Fire Emblem: Shadow Dragon,DS,22,269734,269734,Japan
2008,Gundam Battle Universe,PSP,25,259883,259883,Japan
2008,Deca Sports,Wii,42,259445,259445,Japan
2008,Dynasty Warriors: Gundam 2,PS3,3,255858,255858,Japan
2008,Pokemon Diamond / Pearl Version,DS,120,255729,5827503,Japan
2008,Link's Crossbow Training,Wii,36,252765,252765,Japan
2008,Taiko no Tatsujin DS: Touch de Dokodon!,DS,76,252044,594962,Japan
2008,Monster Hunter Freedom 2,PSP,98,249645,1753219,Japan
2008,Fossil Fighters (JP sales),DS,38,245548,245548,Japan
2008,Inazuma Eleven,DS,20,238423,238423,Japan
2008,Super Mario Galaxy,Wii,62,235150,1005273,Japan
2008,Dynasty Warriors 6 (JP sales),PS2,14,234339,234339,Japan
2008,Mario Super Sluggers,Wii,29,228496,228496,Japan
