Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area
2018,Super Smash Bros. (2018),NS,4,2405404,2405404,Japan
2018,Monster Hunter: World,PS4,49,2168255,2168255,Japan
2018,Splatoon 2,NS,76,1133448,3006864,Japan
2018,Mario Kart 8 Deluxe,NS,88,931989,2106185,Japan
2018,Super Mario Party,NS,13,853834,853834,Japan
2018,"Pokemon: Let's Go, Pikachu!",NS,7,822766,822766,Japan
2018,Kirby,NS,42,722464,722464,Japan
2018,Super Mario Odyssey,NS,62,555645,2022159,Japan
2018,Minecraft,NS,28,520456,520456,Japan
2018,"Pokemon: Let's Go, Eevee!",NS,7,513055,513055,Japan
2018,Call of Duty: Black Ops IIII,PS4,12,501266,501266,Japan
2018,The Legend of Zelda: Breath of the Wild,NS,96,493020,1259899,Japan
2018,Pokemon: Ultra Sun and Ultra Moon,3DS,59,481410,2550655,Japan
2018,Mario Tennis Aces,NS,28,420652,420652,Japan
2018,Spider-Man (PS4),PS4,17,319173,319173,Japan
2018,Taiko no Tatsujin: Drum 'n' Fun!,NS,24,272326,272326,Japan
2018,Nintendo Labo: Toy-Con 01 Variety Kit,NS,37,270203,270203,Japan
2018,Jikkyou Powerful Pro Baseball 2018,PS4,36,256834,256834,Japan
2018,Donkey Kong Country: Tropical Freeze,NS,35,255485,255485,Japan
2018,Project Octopath Traveler,NS,25,225118,225118,Japan
2018,Mario + Rabbids Kingdom Battle,NS,50,219162,219162,Japan
2018,Judgment,PS4,3,217587,217587,Japan
2018,Red Dead Redemption 2,PS4,10,213013,213013,Japan
2018,Mario Party: The Top 100,3DS,53,193256,243379,Japan
2018,God Eater 3,PS4,3,187962,187962,Japan
2018,Hokuto ga Gotoku,PS4,43,182371,182371,Japan
2018,Captain Toad: Treasure Tracker,NS,25,172626,172626,Japan
2018,Dynasty Warriors 9,PS4,47,171795,171795,Japan
2018,1-2-Switch,NS,96,164822,498007,Japan
2018,Warriors  Orochi 4,PS4,14,160113,160113,Japan
2018,Dissidia Final Fantasy NT,PS4,51,158839,158839,Japan
2018,Battlefield V,PS4,6,155244,155244,Japan
2018,Far Cry 5,PS4,40,152149,152149,Japan
2018,Pro Evolution Soccer 2019,PS4,18,152133,152133,Japan
2018,Dragon Quest Builders 2,PS4,2,147755,147755,Japan
2018,Arms,NS,81,145541,467012,Japan
2018,Animal Crossing: New Leaf,3DS,321,145094,4899825,Japan
2018,Dragon Quest Builders 2,NS,2,142555,142555,Japan
2018,Dark Souls: Remastered,PS4,32,138232,138232,Japan
2018,WarioWare Gold,3DS,22,133565,133565,Japan
2018,Super Robot Wars X,PS4,40,131697,131697,Japan
2018,The Legend of Heroes: Trails of Cold Steel IV,PS4,14,129771,129771,Japan
2018,Pokken Tournament,NS,67,128107,316997,Japan
2018,God of War (PS4),PS4,37,127940,127940,Japan
2018,Sword Art Online: Fatal Bullet,PS4,47,127877,127877,Japan
2018,Ni no Kuni II: Revenant Kingdom,PS4,41,122079,122079,Japan
2018,Fate/Extella Link,PS4,30,121569,121569,Japan
2018,Pro Yakyuu Famista Evolution,NS,22,120410,120410,Japan
2018,Jikkyou Powerful Pro Baseball 2018,PSV,36,119986,119986,Japan
2018,The Snack World: Trejarers Gold,NS,38,119874,119874,Japan
2018,Great Detective Pikachu,3DS,41,117778,117778,Japan
2018,Detroit: Become Human,PS4,32,116687,116687,Japan
2018,Dragon Ball Fighter Z,PS4,48,116461,116461,Japan
2018,Tom Clancy's Rainbow Six: Siege,PS4,160,111582,362013,Japan
2018,Yo-kai Watch Busters 2: Legend of the Secret Treasure Banbarayar - Sword/Magnum,3DS,55,109119,508050,Japan
2018,Etrian Odyssey X,3DS,22,105030,105030,Japan
2018,FIFA 19,PS4,14,102505,102505,Japan
2018,New Gundam Breaker,PS4,28,100052,100052,Japan
2018,Fallout 76,PS4,7,97970,97970,Japan
2018,Persona Q2: New Cinema Labyrinth,3DS,5,96408,96408,Japan
2018,Dragon Ball: Xenoverse 2,NS,69,94433,191604,Japan
2018,Assassin's Creed Odyssey,PS4,13,94199,94199,Japan
2018,Conan Exiles,PS4,19,89471,89471,Japan
2018,Luigi's Mansion,3DS,8,88777,88777,Japan
2018,Mario Kart,3DS,370,88116,2996502,Japan
2018,Kingdom Hearts 1.5 + 2.5 Remix,PS4,95,86989,232701,Japan
2018,Captain Toad: Treasure Tracker,3DS,25,83954,83954,Japan
2018,Attack on Titan 2,NS,42,79671,79671,Japan
2018,Valkyria Chronicles 4,PS4,41,78510,78510,Japan
2018,Kirby: Battle Royale,3DS,57,77847,200017,Japan
2018,Xenoblade Chronicles 2,NS,57,76696,240631,Japan
2018,MineCraft,PS4,161,76094,352705,Japan
2018,Nintendo Labo: Toy-Con 02 Robot Kit,NS,37,75867,75867,Japan
2018,Dragon Quest Builders: Revive Alefgard,NS,44,73347,73347,Japan
