Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area,Weeks Avg
2007,Tom Clancy's Rainbow Six: Vegas,PS3,27,282283,282280,Europe,10454.81481
2016,Nintendo Presents: New Style Boutique 2 - Fashion Forward,3DS,59,301411,614027,Europe,10407.23729
2018,Dragon Ball Fighter Z,PS4,49,508690,508690,Europe,10381.42857
2013,Donkey Kong Country Returns 3D,3DS,33,341085,341085,Europe,10335.90909
2011,Driver: San Francisco,X360,18,177618,185227,Europe,10290.38889
2014,LEGO Marvel Super Heroes,PS3,60,289240,616128,Europe,10268.8
2015,Minecraft: Xbox One Edition,XOne,58,353492,594451,Europe,10249.15517
2018,LEGO Marvel Super Heroes 2,PS4,59,358614,604293,Europe,10242.25424
2008,Sonic and the Secret Rings,Wii,97,504164,990603,Europe,10212.40206
2009,UFC 2009 Undisputed,X360,33,336829,336829,Europe,10206.93939
2017,Tom Clancy's Ghost Recon Wildlands,XOne,43,437800,437800,Europe,10181.39535
2018,Rocket League,PS4,132,351414,1338952,Europe,10143.57576
2015,LEGO Jurassic World,PS3,30,303643,303643,Europe,10121.43333
2015,Mario Party 10,WiiU,42,425033,425033,Europe,10119.83333
2008,Ratchet & Clank: Size Matters,PSP,87,581862,879382,Europe,10107.83908
2007,Harry Potter and the Order of the Phoenix,DS,27,271294,271294,Europe,10047.92593
2009,Street Fighter IV,PS3,46,460370,460372,Europe,10008.08696
2016,MineCraft,XOne,111,511648,1106099,Europe,9964.855856
2007,Formula 1: Championship Edition,PS3,41,406386,406387,Europe,9911.878049
2009,LEGO Batman: The Videogame,X360,65,474685,641815,Europe,9874.076923
2016,Bloodborne,PS4,93,267967,916729,Europe,9857.301075
2018,Jurassic World Evolution,PS4,26,254821,254821,Europe,9800.807692
2009,Rhythm Heaven,DS,36,352816,352819,Europe,9800.527778
2015,Diablo III: Ultimate Evil Edition,PS4,72,312919,703047,Europe,9764.541667
2018,Kirby,NS,42,409638,409638,Europe,9753.285714
2016,Overwatch,PC,32,310997,310997,Europe,9718.65625
2009,Puzzler Collection,DS,75,316901,725458,Europe,9672.773333
2010,Style Savvy,DS,63,365908,607611,Europe,9644.619048
2013,Gears of War: Judgment,X360,42,403110,403110,Europe,9597.857143
2009,LEGO Star Wars: The Complete Saga,DS,112,315476,1074754,Europe,9596.017857
2015,The Witcher 3: Wild Hunt,PC,33,311636,311636,Europe,9443.515152
2007,Ridge Racer 7,PS3,41,385982,385982,Europe,9414.195122
2017,PlayStation VR Worlds,PS4,64,453536,600679,Europe,9385.609375
2009,Grand Theft Auto: Chinatown Wars,DS,42,393666,393668,Europe,9373.047619
2018,Nintendo Labo: Toy-Con 01 Variety Kit,NS,36,335175,335175,Europe,9310.416667
2007,WarioWare: Smooth Moves,Wii,51,474005,474003,Europe,9294.176471
2015,Super Mario 3D World,WiiU,110,275276,1020967,Europe,9281.518182
2013,Injustice: Gods Among Us,PS3,38,350398,350398,Europe,9221
2009,Pure,X360,67,446830,617790,Europe,9220.746269
2016,Naruto Shippuden: Ultimate Ninja Storm 4,PS4,48,442203,442203,Europe,9212.5625
2014,Diablo III,PS3,70,309548,644319,Europe,9204.557143
2011,uDraw Studio,Wii,44,184351,404878,Europe,9201.772727
2018,Project Octopath Traveler,NS,25,229083,229083,Europe,9163.32
2010,Sonic & SEGA All-Stars Racing,Wii,45,410276,410276,Europe,9117.244444
2012,Nintendogs + cats,3DS,93,274863,845704,Europe,9093.591398
2014,New Super Mario Bros. U,WiiU,110,349060,998911,Europe,9081.009091
2007,Viva Pinata,X360,57,435012,517601,Europe,9080.719298
2018,Xenoblade Chronicles 2,NS,57,257165,517513,Europe,9079.175439
2017,WipEout Omega Collection,PS4,30,271998,271998,Europe,9066.6
2009,LEGO Star Wars: The Complete Saga,Wii,112,381993,1014194,Europe,9055.303571
2015,Monster Hunter 4 Ultimate,3DS,47,425557,425557,Europe,9054.404255
2007,Need for Speed Carbon,X360,61,305949,550583,Europe,9025.95082
2007,Pirates of the Caribbean: At World's End,PS3,32,287844,287845,Europe,8995.15625
2012,Mass Effect 3,PS3,43,385239,385239,Europe,8959.046512
2016,Pokemon Super Mystery Dungeon,3DS,46,410326,410326,Europe,8920.130435
2016,Doom (2016),XOne,34,302258,302258,Europe,8889.941176
2007,Crackdown,X360,45,398530,398533,Europe,8856.288889
2007,Virtua Tennis 3,PS3,41,361873,361868,Europe,8826.04878
2017,MineCraft,XOne,163,331552,1437651,Europe,8819.944785
2014,2014 FIFA World Cup Brazil,PS3,38,333793,333793,Europe,8784.026316
2007,English Training: Have Fun Improving Your Skills!,DS,62,425419,543463,Europe,8765.532258
2007,Ratchet & Clank: Size Matters,PSP,34,297519,297523,Europe,8750.676471
2011,Cars 2,DS,24,153115,208892,Europe,8703.833333
2017,The Legend of Zelda: Breath of the Wild,WiiU,44,381291,381291,Europe,8665.704545
2012,Kinect Star Wars,X360,39,337633,337633,Europe,8657.25641
2007,Clubhouse Games,DS,66,443582,570732,Europe,8647.454545
2017,Farpoint,PS4,33,283641,283641,Europe,8595.181818
2015,Dragon Ball: Xenoverse,PS4,45,384708,384708,Europe,8549.066667
2017,Overwatch,XOne,84,313257,716232,Europe,8526.571429
2007,Call of Duty 3,PS3,41,348144,348144,Europe,8491.317073
2016,Diablo III,PS4,124,326865,1051784,Europe,8482.129032
2017,DiRT 4,PS4,30,254280,254280,Europe,8476
2010,BioShock 2,X360,47,397083,397083,Europe,8448.574468
2018,EA Sports UFC 3,PS4,48,405399,405399,Europe,8445.8125
2012,Mario & Sonic at the London 2012 Olympic Games,3DS,47,396722,396722,Europe,8440.893617
2008,World of Warcraft,PC,204,510979,1720817,Europe,8435.377451
2009,Ratchet & Clank: Size Matters,PSP,139,292217,1171601,Europe,8428.784173
2014,The LEGO Movie Videogame,X360,47,395816,395816,Europe,8421.617021
2016,LEGO Marvel's Avengers,PS4,49,409496,409496,Europe,8357.061224
2017,Kingdom Hearts 1.5 + 2.5 Remix,PS4,40,332285,332285,Europe,8307.125
