Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area,Weeks Avg
2017,Arms,NS,29,616002,616002,USA,21241.4482758621
2017,Uncharted: The Lost Legacy,PS4,19,403266,403266,USA,21224.5263157895
2017,MLB The Show 17,PS4,40,836775,836775,USA,20919.375
2010,Tom Clancy's Splinter Cell: Conviction,X360,38,794051,794051,USA,20896.0789473684
2010,LEGO Harry Potter: Years 1-4,DS,27,561914,561914,USA,20811.6296296296
2017,Just Dance 2018,NS,10,206991,206991,USA,20699.1
2009,Fight Night Round 4,X360,28,577799,577799,USA,20635.6785714286
2017,Tom Clancy's Ghost Recon Wildlands,PS4,43,887269,887269,USA,20634.1627906977
2010,NCAA Football 11,PS3,25,515580,515580,USA,20623.2
2015,The Legend of Zelda: Majora's Mask 3D,3DS,47,969236,969236,USA,20622.0425531915
2007,NCAA Football 08,X360,24,494510,494510,USA,20604.5833333333
2008,NCAA Football 09,X360,25,513280,513280,USA,20531.2
2011,Mortal Kombat,X360,37,756388,756388,USA,20442.9189189189
2018,Mega Man 11,NS,13,265728,265728,USA,20440.6153846154
2013,God of War: Ascension,PS3,43,872911,872911,USA,20300.2558139535
2012,Tom Clancy's Ghost Recon: Future Soldier,X360,32,644123,644123,USA,20128.84375
2010,BioShock 2,X360,47,940946,940946,USA,20020.1276595745
2009,inFAMOUS,PS3,32,634664,634664,USA,19833.25
2018,MLB The Show 18,PS4,40,793127,793127,USA,19828.175
2009,[Prototype],X360,30,594655,594655,USA,19821.8333333333
2009,Halo Wars,X360,44,871832,871832,USA,19814.3636363636
2007,Madden NFL 08,Wii,20,395880,395880,USA,19794
2007,High School Musical: Makin' the Cut!,DS,20,395571,395571,USA,19778.55
2007,Drawn to Life,DS,16,315876,315876,USA,19742.25
2013,Tom Clancy's Splinter Cell: Blacklist,X360,20,393247,393247,USA,19662.35
2008,LEGO Indiana Jones: The Original Adventures,DS,31,608649,608649,USA,19633.8387096774
2012,Max Payne 3,X360,33,646999,646999,USA,19606.0303030303
2008,Guitar Hero: Aerosmith,Wii,27,528443,528443,USA,19571.962962963
2015,Bloodborne,PS4,41,798391,798391,USA,19472.9512195122
2009,Killzone 2,PS3,45,871336,871336,USA,19363.0222222222
2018,Monster Hunter: World,PS4,49,945283,945283,USA,19291.4897959184
2014,Tomodachi Life,3DS,30,573130,573130,USA,19104.3333333333
2008,God of War: Chains of Olympus,PSP,44,837077,837077,USA,19024.4772727273
2010,Battlefield: Bad Company 2,PS3,44,834084,834084,USA,18956.4545454545
2008,LEGO Indiana Jones: The Original Adventures,Wii,31,585172,585172,USA,18876.5161290323
2013,Saints Row IV,PS3,20,376522,376522,USA,18826.1
2007,Madden NFL 08,PSP,20,375556,375556,USA,18777.8
2008,Army of Two,X360,44,823858,823858,USA,18724.0454545455
2015,The Elder Scrolls Online: Tamriel Unlimited,PS4,30,560172,560172,USA,18672.4
2018,Donkey Kong Country: Tropical Freeze,NS,35,652032,652032,USA,18629.4857142857
2015,NHL 16,XOne,16,297319,297319,USA,18582.4375
2009,Madden NFL 10,Wii,21,389244,389244,USA,18535.4285714286
2011,inFAMOUS 2,PS3,30,555237,555237,USA,18507.9
2017,Injustice 2,PS4,33,610159,610159,USA,18489.6666666667
2014,Watch Dogs,X360,31,573038,573038,USA,18485.0967741935
2017,Tom Clancy's Ghost Recon Wildlands,XOne,43,794434,794434,USA,18475.2093023256
2013,Diablo III,PS3,18,331691,331691,USA,18427.2777777778
2016,Doom (2016),PS4,34,624513,624513,USA,18368.0294117647
2010,Final Fantasy XIII,X360,43,786679,786679,USA,18294.8604651163
2014,Titanfall,X360,38,694829,694829,USA,18284.9736842105
2013,Gears of War: Judgment,X360,42,762278,762278,USA,18149.4761904762
2018,Project Octopath Traveler,NS,25,452082,452082,USA,18083.28
2016,Ratchet & Clank (2016),PS4,38,686408,686408,USA,18063.3684210526
2011,Nintendogs + cats,3DS,40,718158,718158,USA,17953.95
2012,LEGO Batman 2: DC Super Heroes,Wii,28,502602,502602,USA,17950.0714285714
2015,Until Dawn,PS4,19,338270,338270,USA,17803.6842105263
2016,Fire Emblem Fates,3DS,46,817960,817960,USA,17781.7391304348
2012,Mario Party 9,Wii,42,741964,741964,USA,17665.8095238095
2008,Battlefield: Bad Company,X360,28,493848,493848,USA,17637.4285714286
2010,UFC Undisputed 2010,X360,32,561477,561477,USA,17546.15625
2010,Wipeout: The Game,Wii,28,489264,489264,USA,17473.7142857143
2015,Rare Replay,XOne,22,382568,382568,USA,17389.4545454545
2016,MLB 16: The Show,PS4,40,693523,693523,USA,17338.075
2009,Street Fighter IV,PS3,46,795716,795716,USA,17298.1739130435
2012,Kinect Star Wars,X360,39,673382,673382,USA,17266.2051282051
2009,Fight Night Round 4,PS3,28,478795,478795,USA,17099.8214285714
2009,Street Fighter IV,X360,46,782805,782805,USA,17017.5
2007,Tiger Woods PGA Tour 08,X360,18,301358,301358,USA,16742.1111111111
2012,MLB 12: The Show,PS3,43,714057,714057,USA,16605.976744186
2015,Metal Gear Solid V: The Phantom Pain,XOne,18,298388,298388,USA,16577.1111111111
2015,The Witcher 3: Wild Hunt,XOne,33,539191,539191,USA,16339.1212121212
2018,Kirby,NS,42,685612,685612,USA,16324.0952380952
2011,Homefront,X360,42,685246,685246,USA,16315.380952381
2013,Injustice: Gods Among Us,X360,38,619185,619185,USA,16294.3421052632
2016,Dark Souls III,PS4,38,612476,612476,USA,16117.7894736842
2007,Crackdown,X360,45,712946,712946,USA,15843.2444444444
2018,Detroit: Become Human,PS4,32,503122,503122,USA,15722.5625
2008,Ninja Gaiden II,X360,31,483592,483592,USA,15599.7419354839
2011,Portal 2,PS3,37,575252,575252,USA,15547.3513513514
2018,Dragon Quest XI,PS4,17,263210,263210,USA,15482.9411764706
2010,Toy Story 3: The Video Game,DS,29,446560,446560,USA,15398.6206896552
2011,Mario Sports Mix,Wii,47,717906,717906,USA,15274.5957446809
2018,NHL 19,PS4,16,243499,243499,USA,15218.6875
2012,Pokémon Black and White,DS,28,425853,425853,USA,15209.0357142857
2015,Battlefield: Hardline,XOne,42,634328,634328,USA,15103.0476190476
2016,Doom (2016),XOne,34,512383,512383,USA,15070.0882352941
2007,Diddy Kong Racing DS,DS,47,705596,705596,USA,15012.6808510638
2016,Madden NFL 17,X360,19,284655,284655,USA,14981.8421052632
2018,NHL 19,XOne,16,239069,239069,USA,14941.8125
2015,Dying Light,PS4,49,728452,728452,USA,14866.3673469388
2018,Crash Bandicoot N. Sane Trilogy,NS,27,400911,400911,USA,14848.5555555556
2012,LEGO Batman 2: DC Super Heroes,X360,28,412578,412578,USA,14734.9285714286
2013,Tomb Raider,X360,44,647352,647352,USA,14712.5454545455
2007,Transformers: Autobots / Decepticons,DS,28,411265,411265,USA,14688.0357142857
2015,Battlefield: Hardline,PS4,42,613363,613363,USA,14603.880952381
2009,Tiger Woods PGA Tour 10,Wii,30,434358,434358,USA,14478.6
2015,MLB 15: The Show,PS4,40,572831,572831,USA,14320.775
2016,NHL 17,PS4,16,228089,228089,USA,14255.5625
2008,Deca Sports,Wii,34,483591,483591,USA,14223.2647058824
2010,UFC Undisputed 2010,PS3,32,451441,451441,USA,14107.53125
2015,Mario Party 10,WiiU,42,591333,591333,USA,14079.3571428571
2008,Gran Turismo 5 Prologue,PS3,38,534769,534769,USA,14072.8684210526
2018,NBA 2K19,NS,16,222853,222853,USA,13928.3125
2016,Pokken Tournament,WiiU,42,584840,584840,USA,13924.7619047619
2007,Resident Evil 4: Wii Edition,Wii,28,386208,386208,USA,13793.1428571429
2018,Monster Hunter Double Cross,NS,18,247269,247269,USA,13737.1666666667
2007,Pokemon Battle Revolution,Wii,27,370820,370820,USA,13734.0740740741
2018,Sea of Thieves,XOne,41,555888,555888,USA,13558.243902439
2014,Watch Dogs,PS3,31,417556,417556,USA,13469.5483870968
2016,The Legend of Zelda: Twilight Princess HD,WiiU,44,589614,589614,USA,13400.3181818182
2017,The Legend of Zelda: Breath of the Wild,WiiU,44,589246,589246,USA,13391.9545454545
2017,Resident Evil VII: Biohazard,PS4,49,652083,652083,USA,13307.8163265306
2007,Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,43,570577,570577,USA,13269.2325581395
2012,Final Fantasy XIII-2,PS3,48,635691,635691,USA,13243.5625
2013,StarCraft II: Heart of the Swarm,PC,43,568574,568574,USA,13222.6511627907
2015,LEGO Jurassic World,X360,30,395445,395445,USA,13181.5
2017,NHL 18,XOne,16,210396,210396,USA,13149.75
2010,Heavy Rain,PS3,45,590884,590884,USA,13130.7555555556
2009,[Prototype],PS3,30,392784,392784,USA,13092.8
2008,Crisis Core: Final Fantasy VII,PSP,41,535734,535734,USA,13066.6829268293
2013,Donkey Kong Country Returns 3D,3DS,33,429914,429914,USA,13027.696969697
2011,Brink,X360,34,442741,442741,USA,13021.7941176471
2014,MLB 14 The Show,PS4,34,441319,441319,USA,12979.9705882353
2017,Injustice 2,XOne,33,424560,424560,USA,12865.4545454545
2011,Dead Space 2,X360,49,628022,628022,USA,12816.7755102041
2007,Lost Planet: Extreme Condition,X360,51,653286,653286,USA,12809.5294117647
2017,Final Fantasy XII: The Zodiac Age,PS4,25,319765,319765,USA,12790.6
2018,Monster Hunter: World,XOne,49,614622,614622,USA,12543.306122449
2017,NHL 18,PS4,16,199630,199630,USA,12476.875
2017,For Honor,PS4,46,572142,572142,USA,12437.8695652174
2011,Crysis 2,X360,41,508076,508076,USA,12392.0975609756
2015,Dying Light,XOne,49,605742,605742,USA,12362.0816326531
2016,Far Cry: Primal,PS4,45,555031,555031,USA,12334.0222222222
2013,BioShock Infinite,PS3,41,503002,503002,USA,12268.3414634146
2007,WarioWare: Smooth Moves,Wii,50,611164,611164,USA,12223.28
2011,Dragon Age II,X360,43,521200,521200,USA,12120.9302325581
2017,Tekken 7,PS4,31,372921,372921,USA,12029.7096774194
2011,LEGO Star Wars III: The Clone Wars,Wii,41,492080,492080,USA,12001.9512195122
2010,Super Street Fighter IV,PS3,36,430955,430955,USA,11970.9722222222
2010,MLB 10: The Show,PS3,44,526552,526552,USA,11967.0909090909
2008,MLB 08: The Show,PS3,44,526399,526399,USA,11963.6136363636
2007,Major League Baseball 2K7,X360,44,523706,523706,USA,11902.4090909091
2011,SOCOM 4: U.S. Navy SEALs,PS3,37,440125,440125,USA,11895.2702702703
2015,Monster Hunter 4 Ultimate,3DS,47,557939,557939,USA,11871.0425531915
2017,Mass Effect: Andromeda,PS4,41,486238,486238,USA,11859.4634146341
2010,MAG: Massive Action Game,PS3,49,573897,573897,USA,11712.1836734694
2013,MLB 13: The Show,PS3,44,514473,514473,USA,11692.5681818182
2008,Devil May Cry 4,X360,48,554821,554821,USA,11558.7708333333
2009,MLB 09: The Show,PS3,44,507625,507625,USA,11536.9318181818
2017,Kingdom Hearts 1.5 + 2.5 Remix,PS4,40,459348,459348,USA,11483.7
2015,The Order 1866,PS4,46,522369,522369,USA,11355.847826087
2018,Captain Toad: Treasure Tracker,NS,25,283364,283364,USA,11334.56
2018,Dragon Ball Fighter Z,PS4,49,557541,554541,USA,11317.1632653061
2012,Max Payne 3,PS3,33,372750,372750,USA,11295.4545454545
2018,LEGO The Incredibles,NS,29,323705,323705,USA,11162.2413793103
2007,Big Brain Academy: Wii Degree,Wii,29,323118,323118,USA,11142
2014,The LEGO Movie Videogame,X360,47,523343,523343,USA,11134.9574468085
2018,Nintendo Labo: Toy-Con 01 Variety Kit,NS,37,408163,408163,USA,11031.4324324324
2011,Marvel vs. Capcom 3: Fate of Two Worlds,PS3,46,507327,507327,USA,11028.847826087
2016,Monster Hunter X,3DS,25,275437,275437,USA,11017.48
2014,EA Sports UFC,PS4,28,305713,305713,USA,10918.3214285714
2008,Major League Baseball 2K8,X360,44,470114,470114,USA,10684.4090909091
2011,Marvel vs. Capcom 3: Fate of Two Worlds,X360,46,489496,489496,USA,10641.2173913043
2013,Dead Space 3,X360,48,510173,510173,USA,10628.6041666667
2010,ZhuZhu Pets,DS,41,433429,433429,USA,10571.4390243902
2013,Tomb Raider,PS3,44,460384,460384,USA,10463.2727272727
2009,Major League Baseball 2K9,X360,44,459701,459701,USA,10447.75
2016,Kirby: Planet Robobot,3DS,30,311762,311762,USA,10392.0666666667
2011,Bulletstorm,X360,45,466210,466210,USA,10360.2222222222
2017,Mass Effect: Andromeda,XOne,41,424029,424029,USA,10342.1707317073
2014,Kirby: Triple Deluxe,3DS,35,360686,360686,USA,10305.3142857143
2017,Persona 5,PS4,39,399189,399189,USA,10235.6153846154
2012,Mass Effect 3,PS3,43,439668,439668,USA,10224.8372093023
2009,Skate 2,X360,50,508329,508329,USA,10166.58
2017,For Honor,XOne,46,467233,467233,USA,10157.2391304348
2016,Far Cry: Primal,XOne,45,451056,451056,USA,10023.4666666667
2012,Twisted Metal,PS3,46,460260,460260,USA,10005.652173913
2013,LEGO City Undercover: The Chase Begins,3DS,37,369783,369783,USA,9994.13513513513
2012,Resident Evil: Operation Raccoon City (Special Edition).,X360,41,407023,407023,USA,9927.39024390244
2010,BioShock 2,PS3,47,465983,465983,USA,9914.53191489362
2009,Gold's Gym: Cardio Workout,Wii,41,402931,402931,USA,9827.58536585366
2014,Wolfenstein: The New Order,PS4,32,313236,313236,USA,9788.625
2011,Dead Space 2,PS3,49,479612,479612,USA,9788
2007,Spider-Man 3,X360,35,335481,335481,USA,9585.17142857143
2007,Spectrobes,DS,43,409810,409810,USA,9530.46511627907
2013,Dead Island: Riptide,X360,37,350420,350420,USA,9470.81081081081
2014,Donkey Kong Country: Tropical Freeze,WiiU,45,423733,423733,USA,9416.28888888889
2017,1-2-Switch,NS,44,410591,410591,USA,9331.61363636364
2007,Sonic and the Secret Rings,Wii,45,417264,417264,USA,9272.53333333333
2010,Aliens vs Predator,X360,46,424376,424375,USA,9225.54347826087
2011,Mass Effect 2,PS3,50,454747,454747,USA,9094.94
2016,Naruto Shippuden: Ultimate Ninja Storm 4,PS4,47,425084,425084,USA,9044.34042553191
2014,South Park: The Stick of Truth,X360,43,388156,388156,USA,9026.88372093023
2016,Quantum Break,XOne,39,351204,351204,USA,9005.23076923077
2012,Kingdoms of Amalur: Reckoning,X360,47,422720,422720,USA,8994.04255319149
2017,Miitopia,3DS,23,203737,203737,USA,8858.13043478261
2012,Resident Evil: Operation Raccoon City,PS3,41,359614,359614,USA,8771.07317073171
2012,UFC Undisputed 3,X360,46,399796,399796,USA,8691.21739130435
2009,Phineas and Ferb,DS,48,416135,416135,USA,8669.47916666667
2013,Crysis 3,X360,46,396800,396800,USA,8626.08695652174
2018,Shadow of the Colossus,PS4,47,404110,404110,USA,8598.08510638298
2010,Dante's Inferno,PS3,47,403326,403326,USA,8581.40425531915
2016,Overwatch,PC,32,273386,273386,USA,8543.3125
2012,Major League Baseball 2K12,X360,43,365509,365509,USA,8500.20930232558
2010,darksiders,X360,52,440765,440765,USA,8476.25
2016,Street Fighter V,PS4,46,389181,389181,USA,8460.45652173913
2007,Cooking Mama: Cook Off,Wii,41,345237,345237,USA,8420.41463414634
2014,Metal Gear Solid V: Ground Zeroes,PS4,41,344211,344211,USA,8395.39024390244
2007,Tiger Woods PGA Tour 07,Wii,42,347948,347948,USA,8284.47619047619
2014,Final Fantasy X / X-2 HD Remaster,PS3,41,338076,338076,USA,8245.75609756098
2013,Fire Emblem: Awakening,3DS,48,394734,394734,USA,8223.625
2013,Pokemon Mystery Dungeon: Gates to Infinity,3DS,41,335801,335801,USA,8190.26829268293
2007,Naruto: Ninja Council 3,DS,32,256692,256692,USA,8021.625
2016,Plants vs. Zombies: Garden Warfare 2,XOne,45,360149,360149,USA,8003.31111111111
2017,Kingdom Hearts HD 2.8 Final Chapter Prologue,PS4,49,390899,390899,USA,7977.5306122449
2017,NieR Automata,PS4,43,340844,340844,USA,7926.60465116279
2018,State of Decay 2,XOne,32,251031,251031,USA,7844.71875
2007,The Elder Scrolls IV: Oblivion,PS3,41,319686,319686,USA,7797.21951219512
2014,Yoshi's New Island,3DS,42,326880,326880,USA,7782.85714285714
2016,Dark Souls III,XOne,38,294934,294934,USA,7761.42105263158
2013,Ni no Kuni: Wrath of the White Witch,PS3,50,387605,387605,USA,7752.1
2017,Resident Evil VII: Biohazard,XOne,49,379601,379601,USA,7746.95918367347
2014,Bravely Default: Flying Fairy,3DS,47,360719,360719,USA,7674.87234042553
2018,EA Sports UFC 3,PS4,48,366815,366815,USA,7641.97916666667
2018,Ni no Kuni II: Revenant Kingdom,PS4,41,305097,305097,USA,7441.39024390244
2015,Final Fantasy Type-0 HD,PS4,42,312055,312055,USA,7429.88095238095
2018,Dragon Ball Fighter Z,XOne,49,352432,351432,USA,7172.08163265306
