Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area,Weeks Avg
2010,New Super Mario Bros. Wii,Wii,59,5251154,9101371,USA,154260.525423729
2011,Kinect Adventures!,X360,61,5115158,9300175,USA,152461.885245902
2011,Call of Duty: Black Ops,X360,60,1637372,8011212,USA,133520.2
2010,Wii Sports Resort,Wii,75,5472974,9977238,USA,133029.84
2012,Call of Duty: Modern Warfare 3,X360,60,1279558,7764449,USA,129407.483333333
2007,Wii Sports,Wii,58,6287171,7332613,USA,126424.362068966
2014,Grand Theft Auto V,X360,67,969639,8021731,USA,119727.328358209
2013,Call of Duty: Black Ops II,X360,60,1172700,7078181,USA,117969.683333333
2010,Call of Duty: Modern Warfare 2,X360,60,1893033,7038633,USA,117310.55
2010,Wii Fit Plus,Wii,65,3272984,6569278,USA,101065.815384615
2009,Wii Fit,Wii,85,3812829,8112006,USA,95435.3647058824
2014,Call of Duty: Ghosts,X360,60,968057,5706249,USA,95104.15
2013,Halo 4,X360,61,1001492,5673038,USA,93000.6229508197
2017,Pokemon Sun/Moon,3DS,59,1056373,5395497,USA,91449.1016949153
2008,Wii Play,Wii,99,5291362,8982137,USA,90728.6565656566
2016,Call of Duty: Black Ops 3,PS4,61,1770825,5471365,USA,89694.5081967213
2009,Mario Kart Wii,Wii,88,3021777,7740284,USA,87957.7727272727
2014,Grand Theft Auto V,PS3,67,738370,5856366,USA,87408.447761194
2011,Halo: Reach,X360,68,1053915,5712288,USA,84004.2352941177
2011,Call of Duty: Black Ops,PS3,60,1112473,5009349,USA,83489.15
2008,Halo 3,X360,67,1177825,5422149,USA,80927.5970149254
2012,Call of Duty: Modern Warfare 3,PS3,60,864202,4782024,USA,79700.4
2012,Just Dance 3,Wii,65,1382559,5153119,USA,79278.7538461538
2011,Just Dance 2,Wii,64,2380457,4917786,USA,76840.40625
2018,Super Mario Odyssey,NS,62,1440747,4689146,USA,75631.3870967742
2013,Call of Duty: Black Ops II,PS3,60,739122,4244980,USA,70749.6666666667
2018,Call of Duty: WWII,PS4,61,540764,4299243,USA,70479.393442623
2010,Call of Duty: Modern Warfare 2,PS3,60,1382378,4094797,USA,68246.6166666667
2008,Call of Duty 4: Modern Warfare,X360,61,1785510,4141590,USA,67894.9180327869
2016,Call of Duty: Black Ops 3,XOne,61,848001,4103119,USA,67264.2459016393
2014,Pokemon X/Y,3DS,64,922270,4001533,USA,62523.953125
2009,Call of Duty: World at War,X360,60,1032658,3613112,USA,60218.5333333333
2012,The Elder Scrolls V: Skyrim,X360,60,925795,3576147,USA,59602.45
2012,Battlefield 3,X360,62,759971,3669367,USA,59183.3387096774
2015,Pokemon Omega Ruby and Alpha Sapphire,3DS,59,847127,3369221,USA,57105.4406779661
2008,Pokemon Diamond / Pearl Version,DS,89,1479696,5080591,USA,57085.2921348315
2018,Call of Duty: WWII,XOne,61,432545,3451194,USA,56576.9508196721
2014,Call of Duty: Ghosts,PS3,60,675001,3376576,USA,56276.2666666667
2012,Super Mario 3D Land,3DS,59,1340877,3293470,USA,55821.5254237288
2008,Super Mario Galaxy,Wii,60,1263785,3325295,USA,55421.5833333333
