Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area,Weeks Avg
2015,The Sims 4,PC,70,1031209,2465510,Global,35221.5714285714
2007,Marvel: Ultimate Alliance,X360,62,1838425,2182732,Global,35205.3548387097
2007,Yoshi's Island DS,DS,59,1487338,2076761,Global,35199.3389830508
2010,God of War Collection,PS3,59,1568301,2073836,Global,35149.7627118644
2009,Rhythm Heaven,DS,75,1147711,2603263,Global,34710.1733333333
2010,Gran Turismo,PSP,66,1058809,2276897,Global,34498.4393939394
2012,Kinect: Disneyland Adventures,X360,59,1505769,2028758,Global,34385.7288135593
2013,NBA 2K13,PS3,66,806814,2252234,Global,34124.7575757576
2014,Assassin's Creed IV: Black Flag,XOne,59,1393274,1986358,Global,33667.0847457627
2007,WarioWare: Smooth Moves,Wii,57,1711590,1912296,Global,33549.0526315789
2008,Big Brain Academy: Wii Degree,Wii,89,1425783,2948688,Global,33131.3258426966
2010,Mario & Luigi: Bowser's Inside Story,DS,99,1095995,3270810,Global,33038.4848484848
2018,Resident Evil VII: Biohazard,PS4,101,777738,3311900,Global,32791.0891089109
2011,Mario Sports Mix,Wii,58,1380698,1880430,Global,32421.2068965517
2008,LEGO Star Wars: The Complete Saga,Wii,61,1335283,1973659,Global,32355.0655737705
2014,Forza Motorsport 5,XOne,59,951575,1889076,Global,32018.2372881356
2015,Minecraft: Xbox One Edition,XOne,59,1088684,1856205,Global,31461.1016949153
2009,Dissidia: Final Fantasy,PSP,55,963451,1723049,Global,31328.1636363636
2007,Dragon Quest Monsters: Joker,DS,53,1029961,1656983,Global,31263.8301886792
2008,Game Party,Wii,58,1705051,1813217,Global,31262.3620689655
2013,Paper Mario,3DS,60,781324,1875107,Global,31251.7833333333
2011,uDraw Studio,Wii,59,920899,1833752,Global,31080.5423728814
2009,LEGO Batman: The Videogame,X360,67,1636795,2073977,Global,30954.8805970149
2012,NBA 2K12,PS3,65,830525,1931083,Global,29708.9692307692
2016,Forza Motorsport 6,XOne,68,734866,1997722,Global,29378.2647058824
2009,My Fitness Coach,Wii,57,1509648,1656358,Global,29058.9122807018
2012,Nintendogs + cats,3DS,97,864934,2810155,Global,28970.6701030928
2008,Crisis Core: Final Fantasy VII,PSP,69,1220423,1992067,Global,28870.5362318841
2017,Doom (2016),PS4,86,625323,2481606,Global,28855.8837209302
2011,Art Academy,DS,81,938626,2295633,Global,28341.1481481481
2008,Guitar Hero III: Legends of Rock,PS3,62,1091223,1734601,Global,27977.435483871
2009,Pure,X360,68,1530988,1888929,Global,27778.3676470588
2007,English Training: Have Fun Improving Your Skills!,DS,101,1020914,2791113,Global,27634.7821782178
2017,Overwatch,XOne,84,854692,2297634,Global,27352.7857142857
2009,Sega Superstars Tennis,X360,94,896442,2566490,Global,27303.085106383
2018,Dragon Quest XI,PS4,75,620347,2036028,Global,27147.04
2011,Professor Layton and the Last Specter,DS,76,1373733,2048915,Global,26959.4078947368
2011,Just Dance Kids,Wii,60,1231215,1606824,Global,26780.4
2007,Tom Clancy's Rainbow Six: Vegas,X360,58,821562,1539632,Global,26545.3793103448
2007,Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,DS,62,677852,1641406,Global,26474.2903225806
2008,Ratchet & Clank: Size Matters,PSP,99,1698660,2615005,Global,26414.1919191919
2010,LittleBigPlanet,PSP,59,1002246,1544330,Global,26175.0847457627
2007,Clubhouse Games,DS,66,808933,1720702,Global,26071.2424242424
2014,New Super Luigi U,WiiU,78,833820,2023031,Global,25936.2948717949
2007,Cooking Mama,DS,93,2145206,2405012,Global,25860.3440860215
2016,Tom Clancy's Rainbow Six: Siege,XOne,57,787857,1470624,Global,25800.4210526316
2018,1-2-Switch,NS,96,888949,2462974,Global,25655.9791666667
2018,Pokken Tournament,NS,67,605114,1707593,Global,25486.4626865672
2018,Xenoblade Chronicles 2,NS,57,602633,1404928,Global,24647.8596491228
2015,Minecraft: PlayStation Vita Edition,PSV,60,958898,1471104,Global,24518.4
2007,The Sims 2: Pets,DS,62,833453,1479531,Global,23863.4032258065
2014,Diablo III,PS3,70,805988,1665485,Global,23792.6428571429
2018,The Sims 4,PS4,59,677466,1394853,Global,23641.5762711864
2007,Hannah Montana,DS,64,943632,1486455,Global,23225.859375
2016,Fire Emblem Fates,3DS,80,1288786,1796122,Global,22451.525
2014,Knack,PS4,60,832407,1329676,Global,22161.2666666667
2007,Daxter,PSP,94,1278659,2055077,Global,21862.5212765957
2014,Mario Party Island Tour,3DS,59,1024411,1275976,Global,21626.7118644068
2007,The Elder Scrolls IV: Oblivion,X360,93,688307,1998708,Global,21491.4838709677
2014,Final Fantasy X / X-2 HD Remaster,PS3,54,915807,1141946,Global,21147.1481481481
2011,Zumba Fitness,X360,59,912644,1174801,Global,19911.8813559322
2016,Pokemon Super Mystery Dungeon,3DS,68,675679,1350612,Global,19861.9411764706
2018,The Elder Scrolls V: Skyrim,NS,59,593024,1153690,Global,19554.0677966102
2008,Professor Layton and the Curious Village,DS,99,1121909,1901910,Global,19211.2121212121
2018,LEGO Marvel Super Heroes 2,PS4,59,604635,1113723,Global,18876.6610169492
2017,Persona 5,PS4,68,874486,1261659,Global,18553.8088235294
2018,Kingdom Hearts 1.5 + 2.5 Remix,PS4,95,601873,1750665,Global,18428.0526315789
2017,Rocket League,PS4,80,690179,1433401,Global,17917.5125
2017,Miitopia,3DS,56,830680,955747,Global,17066.9107142857
2017,PlayStation VR Worlds,PS4,64,756764,1087223,Global,16987.859375
2014,Youkai Watch,3DS,78,1010066,1310842,Global,16805.6666666667
2007,Medal of Honor Heroes,PSP,63,720835,1017644,Global,16153.0793650794
2007,Pokemon Battle Revolution,Wii,55,744072,885136,Global,16093.3818181818
2007,Bratz: Forever Diamondz,DS,67,717226,1074799,Global,16041.776119403
2007,Lost Planet: Extreme Condition,X360,54,792521,835561,Global,15473.3518518519
2007,Viva Pinata,X360,60,658935,858732,Global,14312.2
2007,Ridge Racer 7,PS3,60,684447,846171,Global,14102.85
2007,Fight Night Round 3,PS3,56,691796,782748,Global,13977.6428571429
2018,Fortnite,PS4,76,770813,888062,Global,11685.0263157895
2018,Fortnite,XOne,76,668713,769347,Global,10122.9868421053
