Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area,Weeks Avg
2012,Mass Effect 3,PS3,43,1004125,1004125,Global,23351.7441860465
2016,MLB 16: The Show,PS4,40,929485,929485,Global,23237.125
2013,SimCity,PC,44,1022149,1022149,Global,23230.6590909091
2010,Just Cause 2,PS3,41,949237,949237,Global,23152.1219512195
2011,Dead Space 2,X360,49,1130512,1130512,Global,23071.6734693878
2012,One Piece Pirate Musou,PS3,44,1000307,1000307,Global,22734.25
2014,Yoshi's New Island,3DS,43,966761,966761,Global,22482.8139534884
2010,MAG: Massive Action Game,PS3,49,1100953,1100953,Global,22468.4285714286
2013,Injustice: Gods Among Us,PS3,38,852881,852881,Global,22444.2368421053
2014,The LEGO Movie Videogame,X360,48,1062072,1062072,Global,22126.5
2009,New Play Control! Mario Power Tennis,Wii,51,1125830,1125830,Global,22075.0980392157
2018,Ni no Kuni II: Revenant Kingdom,PS4,41,892818,892818,Global,21776.0487804878
2018,LEGO The Incredibles,NS,29,630833,630833,Global,21752.8620689655
2008,Devil May Cry 4,X360,49,1059176,1059176,Global,21615.8367346939
2009,Grand Theft Auto: Chinatown Wars,DS,42,904643,904643,Global,21539.119047619
2015,Grand Theft Auto V,PC,38,808821,808821,Global,21284.7631578947
2010,Pokemon Ranger: Guardian Signs,DS,44,933104,933104,Global,21206.9090909091
2017,Prey (2017),PS4,35,741126,741126,Global,21175.0285714286
2011,Dead Space 2,PS3,49,1033327,1033327,Global,21088.306122449
2014,Donkey Kong Country: Tropical Freeze,WiiU,47,974471,974471,Global,20733.4255319149
2015,MLB 15: The Show,PS4,40,828889,828889,Global,20722.225
2016,Overwatch,PC,32,662744,662744,Global,20710.75
2016,Far Cry: Primal,XOne,45,927985,927985,Global,20621.8888888889
2015,Final Fantasy Type-0 HD,PS4,42,863354,863354,Global,20556.0476190476
2012,Pokemon + Nobunaga no Yabou,DS,42,863136,863136,Global,20550.8571428571
2012,FIFA Street,PS3,42,863033,863033,Global,20548.4047619048
2017,Ni-Oh,PS4,47,965586,965586,Global,20544.3829787234
2016,Street Fighter V,PS4,46,944960,944960,Global,20542.6086956522
2011,Marvel vs. Capcom 3: Fate of Two Worlds,PS3,46,941121,941121,Global,20459.152173913
2015,Dying Light,XOne,49,1002019,1002019,Global,20449.3673469388
2007,The Elder Scrolls IV: Oblivion,PS3,41,828964,828964,Global,20218.6341463415
2018,EA Sports UFC 3,PS4,48,969422,969422,Global,20196.2916666667
2010,BioShock 2,PS3,47,945382,945382,Global,20114.5106382979
2007,Cooking Mama: Cook Off,Wii,47,945154,945154,Global,20109.6595744681
2007,Ratchet & Clank: Size Matters,PSP,46,916345,916345,Global,19920.5434782609
2017,Injustice 2,XOne,33,657354,657354,Global,19919.8181818182
