Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area,Weeks Avg
2008,Wii Sports,Wii,111,21842013,39201692,Global,353168.396396396
2011,New Super Mario Bros. Wii,Wii,111,3717970,24674157,Global,222289.702702703
2011,Wii Sports Resort,Wii,132,5319549,29213098,Global,221311.348484848
2009,Wii Fit,Wii,110,8839981,22403138,Global,203664.890909091
2008,Wii Play,Wii,110,11803775,20743445,Global,188576.772727273
2010,Mario Kart Wii,Wii,143,5196913,25858651,Global,180829.727272727
2012,Kinect Adventures!,X360,113,4473094,19251506,Global,170367.309734513
2015,Grand Theft Auto V,PS3,120,1181423,20433442,Global,170278.683333333
2011,Wii Fit Plus,Wii,118,2955753,19980856,Global,169329.288135593
2008,Pokemon Diamond / Pearl Version,DS,120,3331630,16323985,Global,136033.208333333
2015,Grand Theft Auto V,X360,120,884962,15705347,Global,130877.891666667
2008,New Super Mario Bros.,DS,138,4841639,17420795,Global,126237.644927536
2016,Grand Theft Auto V,PS4,111,4104297,13637345,Global,122858.963963964
2007,Nintendogs,DS,141,5650547,17008302,Global,120626.255319149
2012,Pokemon Black / White,DS,120,959189,14391557,Global,119929.641666667
2014,Call of Duty: Black Ops II,PS3,112,823961,13268240,Global,118466.428571429
2015,Pokemon X/Y,3DS,117,939939,13262792,Global,113357.196581197
2016,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,111,2141977,12108626,Global,109086.720720721
2012,Gran Turismo 5,PS3,110,2412372,9746064,Global,88600.5818181818
2009,Halo 3,X360,119,1634295,10516614,Global,88374.9075630252
2007,Brain Age 2: More Training in Minutes a Day,DS,105,5088209,8925595,Global,85005.6666666667
2013,Mario Kart 7,3DS,110,1895073,9169258,Global,83356.8909090909
2007,Mario Kart DS,DS,111,3069880,9108722,Global,82060.5585585586
2013,Super Mario 3D Land,3DS,114,1388245,9219459,Global,80872.4473684211
2007,Brain Age: Train Your Brain in Minutes a Day,DS,137,4816095,11077629,Global,80858.6058394161
2007,Animal Crossing: Wild World,DS,110,2329978,8706354,Global,79148.6727272727
2009,Super Mario Galaxy,Wii,114,1050059,8492530,Global,74495.8771929825
2017,Fallout 4,PS4,112,852840,7911584,Global,70639.1428571429
2009,Call of Duty 4: Modern Warfare,X360,113,1057583,7894025,Global,69858.6283185841
2013,The Elder Scrolls V: Skyrim,X360,113,966920,7755360,Global,68631.5044247788
2014,Animal Crossing: New Leaf,3DS,113,1318399,7569918,Global,66990.4247787611
2014,New Super Mario Bros. 2,3DS,128,1313305,8539325,Global,66713.4765625
2009,Mario & Sonic at the Olympic Games,Wii,113,1068917,7530629,Global,66642.7345132743
2010,Super Smash Bros. Brawl,Wii,153,925807,10156502,Global,66382.3660130719
2015,Minecraft: Xbox 360 Edition,X360,135,1524761,8405830,Global,62265.4074074074
2012,Wii Party,Wii,130,933810,7911448,Global,60857.2923076923
2011,Just Dance,Wii,111,1271712,6427978,Global,57909.7117117117
2009,Mario Party DS,DS,113,962697,6420456,Global,56818.1946902655
2010,Grand Theft Auto IV,PS3,140,1123273,7721795,Global,55155.6785714286
2016,Mario Kart Wii U,WiiU,136,684222,7395901,Global,54381.625
2012,Zumba Fitness,Wii,111,1804407,5960700,Global,53700
2016,Grand Theft Auto V,XOne,111,1788752,5867403,Global,52859.4864864865
2012,Kinect Sports,X360,113,1564962,5353769,Global,47378.4867256637
2013,The Elder Scrolls V: Skyrim,PS3,113,932161,5317169,Global,47054.592920354
2011,Uncharted 2: Among Thieves,PS3,116,921928,5381403,Global,46391.4051724138
2017,Uncharted: The Nathan Drake Collection,PS4,117,600046,5421937,Global,46341.3418803419
2009,Call of Duty 4: Modern Warfare,PS3,113,1032819,5124190,Global,45346.814159292
2007,Grand Theft Auto: Liberty City Stories,PSP,114,1237481,4940792,Global,43340.2807017544
2016,The Last of Us,PS4,127,1188985,5395650,Global,42485.4330708661
2013,Batman: Arkham City,PS3,116,777074,4846970,Global,41784.224137931
2014,New Super Mario Bros. U,WiiU,111,1119761,4627224,Global,41686.7027027027
2016,MineCraft,PS3,138,730157,5705198,Global,41342.0144927536
2009,Link's Crossbow Training,Wii,111,998987,4341818,Global,39115.4774774775
2012,Red Dead Redemption,PS3,137,802965,5228383,Global,38163.3795620438
2016,MineCraft,PS4,118,1673981,4426881,Global,37515.9406779661
2010,LittleBigPlanet,PS3,114,1149109,4274705,Global,37497.4122807018
2013,Batman: Arkham City,X360,116,811008,4290796,Global,36989.6206896552
2015,Super Mario 3D World,WiiU,111,937843,4040131,Global,36397.5765765766
2014,Nintendo Land,WiiU,111,1200520,4016256,Global,36182.4864864865
2017,The Witcher 3: Wild Hunt,PS4,137,693575,4883299,Global,35644.5182481752
2007,Big Brain Academy,DS,131,1754487,4561610,Global,34821.4503816794
2015,Tomodachi Life,3DS,142,997238,4804378,Global,33833.6478873239
