Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area
2010,Wii Sports,Wii,213,"5,723,751","25,734,945",Europe
2010,Wii Sports Resort,Wii,76,"3,732,718","8,475,036",Europe
2010,Wii Fit Plus,Wii,62,"3,398,030","6,227,019",Europe
2010,Call of Duty: Black Ops,PS3,8,"2,922,814","2,922,814",Europe
2010,New Super Mario Bros. Wii,Wii,59,"2,820,930","5,112,369",Europe
2010,FIFA Soccer 11,PS3,14,"2,575,121","2,575,121",Europe
2010,Call of Duty: Black Ops,X360,8,"2,559,489","2,559,489",Europe
2010,Gran Turismo 5,PS3,6,"2,432,185","2,432,185",Europe
2010,Pokemon Heart Gold / Soul Silver Version,DS,41,"2,239,352","2,239,352",Europe
2010,Just Dance,Wii,58,"2,046,439","2,368,562",Europe
2010,Mario Kart Wii,Wii,143,"2,030,067","9,804,448",Europe
2010,Kinect Adventures!,X360,8,"1,856,410","1,856,410",Europe
2010,FIFA Soccer 11,X360,14,"1,786,590","1,786,590",Europe
2010,New Super Mario Bros.,DS,236,"1,644,027","7,684,277",Europe
2010,Just Dance 2,Wii,12,"1,607,632","1,607,632",Europe
2010,Wii Party,Wii,13,"1,590,516","1,590,516",Europe
2010,Super Mario Galaxy 2,Wii,30,"1,550,898","1,550,898",Europe
2010,Halo: Reach,X360,16,"1,336,752","1,336,752",Europe
2010,Red Dead Redemption,PS3,33,"1,309,028","1,309,028",Europe
2010,Red Dead Redemption,X360,33,"1,201,902","1,201,902",Europe
2010,Professor Layton and the Unwound Future,DS,11,"1,124,638","1,124,638",Europe
2010,Assassin's Creed: Brotherhood,PS3,7,"1,119,346","1,119,346",Europe
2010,pro evolution soccer 2011,PS3,13,"1,002,607","1,002,607",Europe
2010,God of War III,PS3,42,"944,316","944,316",Europe
2010,Assassin's Creed: Brotherhood,X360,7,"893,639","893,639",Europe
2010,Mario Kart DS,DS,267,"890,492","6,408,460",Europe
2010,Final Fantasy XIII,PS3,43,"884,824","884,824",Europe
2010,Donkey Kong Country Returns,Wii,5,"828,178","828,178",Europe
2010,Call of Duty: Modern Warfare 2,PS3,60,"809,428","3,023,267",Europe
2010,Art Academy,DS,22,"800,124","800,124",Europe
2010,Call of Duty: Modern Warfare 2,X360,60,"778,430","3,040,155",Europe
2010,Need for Speed: Hot Pursuit,PS3,7,"770,945","770,945",Europe
2010,Battlefield: Bad Company 2,PS3,44,"770,074","770,074",Europe
2010,World of Warcraft: Cataclysm,PC,4,"748,116","748,116",Europe
2010,Battlefield: Bad Company 2,X360,44,"724,637","724,637",Europe
