Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area
2013,Grand Theft Auto V,PS3,16,"7,221,096","7,221,096",Europe
2013,Grand Theft Auto V,X360,16,"4,307,110","4,307,110",Europe
2013,FIFA 14,PS3,15,"3,371,303","3,371,303",Europe
2013,Call of Duty: Ghosts,PS3,9,"2,727,079","2,727,079",Europe
2013,FIFA 14,X360,15,"2,475,368","2,475,368",Europe
2013,Pokemon X/Y,3DS,13,"2,235,082","2,235,082",Europe
2013,Call of Duty: Ghosts,X360,9,"2,000,382","2,000,382",Europe
2013,The Last of Us,PS3,30,"1,604,919","1,604,919",Europe
2013,Assassin's Creed IV: Black Flag,PS3,10,"1,166,861","1,166,861",Europe
2013,Animal Crossing: New Leaf,3DS,30,"1,107,802","1,107,802",Europe
2013,Tomb Raider,PS3,44,"1,079,765","1,079,765",Europe
2013,Just Dance 2014,Wii,14,"1,009,094","1,009,094",Europe
2013,FIFA 13,PS3,67,"988,674","4,832,345",Europe
2013,Call of Duty: Black Ops II,PS3,60,"968,215","5,054,465",Europe
2013,Minecraft,X360,28,"942,781","942,781",Europe
2013,Luigi's Mansion: Dark Moon,3DS,41,"932,056","932,056",Europe
2013,FIFA 14,PS4,6,"876,491","876,491",Europe
2013,Gran Turismo 6,PS3,5,"861,664","861,664",Europe
2013,Battlefield 4,PS3,10,"859,134","859,134",Europe
2013,Assassin's Creed IV: Black Flag,X360,10,"795,462","795,462",Europe
2013,The Sims 3,PC,240,"788,685","5,666,405",Europe
2013,New Super Mario Bros. 2,3DS,73,"752,646","1,949,371",Europe
2013,Tomb Raider,X360,44,"737,585","737,585",Europe
2013,Far Cry 3,PS3,58,"698,981","1,447,424",Europe
2013,Mario Kart 7,3DS,110,"693,742","2,677,888",Europe
2013,FIFA 13,X360,67,"673,557","3,395,310",Europe
2013,Killzone: Shadow Fall,PS4,6,"652,066","652,066",Europe
2013,Battlefield 4,X360,10,"645,832","645,832",Europe
2013,Call of Duty: Black Ops II,X360,60,"633,899","3,940,993",Europe
2013,Call of Duty: Ghosts,PS4,6,"577,122","577,122",Europe
2013,Assassin's Creed III,PS3,62,"563,610","2,246,822",Europe
2013,Assassin's Creed IV: Black Flag,PS4,6,"519,390","519,390",Europe
2013,SimCity,PC,44,"518,857","518,857",Europe
2013,Just Dance 4,Wii,66,"515,141","2,025,032",Europe
2013,God of War: Ascension,PS3,43,"508,203","508,203",Europe
2013,Battlefield 4,PS4,6,"499,682","499,682",Europe
2013,Batman: Arkham Origins,PS3,11,"493,729","493,729",Europe
2013,BioShock Infinite,PS3,41,"489,991","489,991",Europe
